AuctionID,ItemID,,MoneyType,Enable,Overlap,AuctionPrice,BaseRaisePrice,SellPrice,ServerLevelLimit,ShowIndex,LocalizationArea
拍卖ID(道具ID有可能重复),道具ID,道具名称(策划用),道具类型(1喵喵果实道具2Zeny币道具),是否有效(1有效0无效),拍卖上架的堆叠数量(不能超过道具本身的堆叠上限),拍卖起始价格,拍卖基础加价,一口价价格，0表示不能一口价,服务器等级限制,显示类型(对应AuctionIndexTable表的分类),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
100001,142030,雷击术,1,1,1,50,5,500,0,100,
100002,142040,地震术,1,1,1,100,10,1000,0,101,
100003,142050,火球术,2,1,1,500,50,5000,0,102,
100004,142060,雷爆术,2,1,1,1000,100,10000,0,103,
100005,142070,狂击,2,1,1,1500,150,15000,60,104,
100006,4010025,弓箭哥布灵卡片,2,1,1,1,1,1,0,101,
100007,4010027,直升机哥布灵卡片,2,1,1,1,1,1,0,101,
100008,4010026,喷射哥布灵卡片,2,1,1,1,1,1,0,101,
100009,4010028,沙漠之狼卡片,2,1,1,1,1,1,0,101,
100010,4010040,米洛斯卡片,2,1,1,1,1,1,0,101,
100011,4010031,黑蛇卡片,2,1,1,1,1,1,0,101,
100012,4010056,犬妖弓箭手卡片,2,1,1,1,1,1,0,101,
100013,4010057,犬妖首领卡片,2,1,1,1,1,1,0,101,
100014,4020003,达拉蛙卡片,2,1,1,1,1,1,0,102,
100015,4020010,锹形虫卡片,2,1,1,1,1,1,0,102,
100016,4030013,马克卡片,2,1,1,1,1,1,0,103,
100017,4030020,异变鱼卡片,2,1,1,1,1,1,0,103,
100018,4030015,泥人卡片,2,1,1,1,1,1,0,103,
100019,4030021,土人卡片,2,1,1,1,1,1,0,103,
100020,4030012,艾吉欧蜈蚣卡片,2,1,1,1,1,1,0,103,
100021,4030016,帕莎纳卡片,2,1,1,1,1,1,0,103,
100022,4040017,兽人婴儿卡片,2,1,1,1,1,1,0,104,
100023,4040021,九尾狐卡片,2,1,1,1,1,1,0,104,
100024,4050010,狂暴月夜猫卡片,2,1,1,1,1,1,0,105,
100025,4060016,剑鱼卡片,2,1,1,1,1,1,0,106,
100026,4070005,基尔瑟卡片,2,1,1,1,1,1,0,107,
100027,4070013,梦魇卡片,2,1,1,1,1,1,0,107,
100028,4070002,小恶魔卡片,2,1,1,1,1,1,0,107,
100029,4070008,马尔杜克卡片,2,1,1,1,1,1,0,107,
100030,4070006,狂暴蚁后卡片,2,1,1,1,1,1,0,107,
100031,4040014,波利之王卡片,2,1,1,1,1,1,0,104,
100032,4030006,幽灵波利卡片,2,1,1,1,1,1,0,103,
100033,4040015,蝗虫之王卡片,2,1,1,1,1,1,0,104,
100034,4040016,蛙王卡片,2,1,1,1,1,1,0,104,
100035,4040009,龙蝇卡片,2,1,1,1,1,1,0,104,
100036,4010054,暗黑祭司卡片,2,1,1,1,1,1,0,101,
100037,5010011,封印的海盗之王卡片,2,1,1,1,1,1,0,201,
100038,5010037,封印的皮里恩卡片,2,1,1,1,1,1,0,201,
100039,5010053,封印的德古拉伯爵卡片,2,1,1,1,1,1,0,201,
100040,5010058,封印的死灵卡片,2,1,1,1,1,1,0,201,
100041,5010018,封印的巴风特卡片,2,1,1,1,1,1,0,201,
100042,5020002,封印的黄金虫卡片,2,1,1,1,1,1,0,202,
100043,5020004,封印的蚁后卡片,2,1,1,1,1,1,0,202,
100044,5030007,封印的天使波利卡片,2,1,1,1,1,1,0,203,
100045,5030019,封印的兽人酋长卡片,2,1,1,1,1,1,0,203,
100046,5040003,封印的恶魔波利卡片,2,1,1,1,1,1,0,204,
100047,5050009,封印的虎王卡片,2,1,1,1,1,1,0,205,
100048,5050011,封印的月夜猫卡片,2,1,1,1,1,1,0,205,
100049,5060019,封印的俄塞里斯卡片,2,1,1,1,1,1,0,206,
100050,5070007,封印的蜂后卡片,2,1,1,1,1,1,0,207,
100051,5070009,封印的法老王卡片,2,1,1,1,1,1,0,207,
100052,5070012,封印的兽人英雄卡片,2,1,1,1,1,1,0,207,
100053,4020003,达拉蛙卡片,2,1,1,1,1,1,45,102,
100054,4020010,锹形虫卡片,2,1,1,1,1,1,45,102,
100055,4040017,兽人婴儿卡片,2,1,1,1,1,1,55,104,
100056,4070005,基尔瑟卡片,2,1,1,1,1,1,45,107,
100057,4060016,剑鱼卡片,2,1,1,1,1,1,70,106,
100058,4030013,马克卡片,2,1,1,1,1,1,75,103,
100059,4030020,异变鱼卡片,2,1,1,1,1,1,75,103,
100060,4030015,泥人卡片,2,1,1,1,1,1,60,103,
100061,4070013,梦魇卡片,2,1,1,1,1,1,80,107,
100062,4010031,黑蛇卡片,2,1,1,1,1,1,75,101,
100063,4030021,土人卡片,2,1,1,1,1,1,75,103,
100064,4010010,海葵卡片,2,1,1,1,1,1,45,101,
100065,4010046,邪骸矿工卡片,2,1,1,1,1,1,65,101,
100066,4010030,邪骸士兵卡片,2,1,1,1,1,1,55,101,
100067,4010029,邪骸弓箭手卡片,2,1,1,1,1,1,60,101,
100068,4010025,弓箭哥布灵卡片,2,1,1,1,1,1,60,101,
100069,4010027,直升机哥布灵卡片,2,1,1,1,1,1,55,101,
100070,4010026,喷射哥布灵卡片,2,1,1,1,1,1,65,101,
100071,4010040,米洛斯卡片,2,1,1,1,1,1,60,101,
100072,4020017,蜗牛王卡片,2,1,1,1,1,1,0,102,
100073,4010060,君主魔碑卡片,2,1,1,1,1,1,0,101,
100074,4050013,地狱梦魇卡片,2,1,1,1,1,1,0,105,
100075,4010061,远古海神卡片,2,1,1,1,1,1,0,101,
100076,4070017,钢鬃巨熊卡片,2,1,1,1,1,1,0,107,
100077,4010062,深海人鱼卡片,2,1,1,1,1,1,0,101,
100078,4010063,狮鹫兽卡片,2,1,1,1,1,1,0,101,
100079,4040010,流浪之狼卡片,2,1,1,1,1,1,0,104,
100080,4010064,深海电鳗卡片,2,1,1,1,1,1,0,101,
100081,4010065,赛杜拉卡片,2,1,1,1,1,1,0,101,
100082,1170002,天使发圈图纸,2,1,1,1,1,1,0,301,
100083,1170003,黄金帽图纸,2,1,1,1,1,1,0,301,
100084,1170022,兽人英雄的头具图纸,2,1,1,1,1,1,0,301,
