ID,AwardId,ItemIds
主键,奖励ID,物品ID列表
1,1100010,
2,1100020,201|202
3,1100030,
4,1100040,201|202
5,1100050,
6,1100060,201|202|2010001|2010005
7,1100070,
8,1100080,201|202
9,1100090,201|202
10,1100100,201|202|2040011
11,1100110,
12,1100120,201|202
13,1100130,
14,1100140,201|202
15,1100150,2090011
16,1100160,
17,1100170,201|202|101|2031003
18,1100180,
19,1100190,
20,1100200,
21,1100210,
22,1100220,
23,1100230,
24,1100240,
25,1100250,
26,1100260,2010001|2010005
27,1100270,2010001|2010005
28,1100280,2010001|2010005
29,1100290,2010001|2010005
30,1100300,2010001|2010005
31,1100310,2010001|2010005
32,1100320,201
33,1100330,
34,1100340,201
35,1100350,201
36,1100360,201
37,1100370,201
38,1100380,201|202|7000001|101
39,1100390,201|202
40,1100400,201|202
41,1100410,201|202|2090009
42,1100420,201|202
43,1100430,201|202|2031002
44,1100440,201|202|101
45,1100450,201|202|21000002
46,1100460,201
47,1100470,201
48,1100480,
49,1100490,201
50,1100500,201
51,1100510,201
52,1100520,201
53,1100530,201
54,1100540,201
55,1100550,201
56,1100560,201
57,1100570,201|202|10000001|101
58,1100580,201|202
59,1100590,201|202
60,1100600,201|202|2090009
61,1100610,201|202
62,1100620,201|202|2031002
63,1100630,201|202|101
64,1100640,201
65,1100650,201
66,1100660,
67,1100670,201
68,1100680,
69,1100690,201
70,1100700,201
71,1100710,201
72,1100720,201
73,1100730,201|202|10000001|101
74,1100740,201|202
75,1100750,201|202
76,1100760,201|202|2090009
77,1100770,201|202
78,1100780,201|202|2031002
79,1100790,201|202|101
80,1100800,201|202|21000002
81,1100810,201
82,1100820,
83,1100830,201
84,1100840,
85,1100850,
86,1100860,
87,1100870,201
88,1100880,201|9000001|101
89,1100890,201|202
90,1100900,201|202
91,1100910,201|202
92,1100920,201|202|2090009
93,1100930,201|202
94,1100940,201|202|2031002
95,1100950,201|202|101
96,1100960,201
97,1100970,201
98,1100980,
99,1100990,201
100,1101000,201
101,1101010,
102,1101020,201
103,1101030,201
104,1101040,201|202|5000001|101
105,1101050,201|202
106,1101060,201|202
107,1101070,201|202|2090009
108,1101080,201|202
109,1101090,201|202|2031002
110,1101100,201|202|101
111,1101110,201
112,1101120,
113,1101130,201
114,1101140,201
115,1101150,201
116,1101160,201
117,1101170,201|202|12000001|101
118,1101180,201|202
119,1101190,201|202
120,1101200,201|202|2090009
121,1101210,201|202
122,1101220,201|202|2031002
123,1101230,201|202|101
124,1101240,201|202|21000002
125,1101250,201|202
126,1101260,
127,1101270,
128,1101280,201|202
129,1101290,
130,1101300,201|202|22000002
131,1101310,201|202
132,1101320,201|202|23000002
133,1101330,
134,1101340,201|202|1290015|1290014|101
135,1101350,
136,1101360,201|202|101|2010012
137,1101370,201|202
138,1101380,
139,1101390,201|202
140,1101400,201|202|101|2010001|2010005
141,1101410,
142,1101420,201|202|101|3054001
143,1101430,201|202
144,1101440,201|202|101|2090019
145,1101450,201|202
146,1101460,201|202
147,1101470,201|202
148,1101480,201|202
149,1101490,201|202
150,1101500,201|202
151,1101510,201|202|101|2090019
152,1101520,201|202|101|3023001
153,1101530,201|202
154,1101540,201|202
155,1101550,201|202|101|2035002
156,1101560,201|202
157,1101570,201|202
158,1101580,201|202|101|2090019
159,1101590,201|202
160,1101600,201|202
161,1101610,
162,1101620,201|202|2090021
163,1101630,201|202|2090021
164,1101640,201|202|2090021
165,1101650,201|202|2090021
166,1101660,201|202|2090021
167,1101670,201|202|2090021
168,1101680,201|202
169,1101690,201|202
170,1101700,201|202
171,1101710,201|202
172,1101720,201|202|101|3022002
173,1101730,201|202
174,1101740,201|202
175,1101750,201|202|2010005
176,1101760,201|202
177,1101770,201|202|2031004
178,1101780,201|202
179,1101790,201|202|101
180,1101800,201|202
181,1101810,201|202|101
182,1101820,201|202
183,1101830,201|202|2035002|101
184,1101840,201|202
185,1101850,201|202|101
186,1101860,201|202
187,1101870,201|202|101
188,1101880,201|202
189,1101890,201|202|2090019
190,1101900,201|202
191,1101910,201|202
192,1101920,201|202|101|2090023
193,1101930,201|202
194,1101940,201|202
195,1101950,201|202|101
196,1101960,201|202
197,1101970,201|202
198,1101980,201|202|101
199,1101990,201|202
200,1102000,201|202
201,1102010,201|202|2031004|101
202,1102020,201|202
203,1102030,201|202
204,1102040,201|202
205,1102050,201|202|2035002|101
206,1102060,
207,1102070,
208,1102080,201|202
209,1102090,201|202
210,1102100,201|202
211,1102110,201|202
212,1102120,201|202|3022011|101
213,1102130,201|202
214,1102140,201|202
215,1102150,201|202|2090023|101
216,1102160,201|202
217,1102170,201|202|2035002|101
218,1102180,201|202
219,1102190,201|202
220,1102200,201|202|2031004|101
221,1102210,201|202
222,1102220,201|202
223,1102230,201|202|3021001|101
224,1102240,201|202
225,1102250,201|202
226,1102260,201|202
227,1102270,201|202|101
228,1102280,201|202
229,1102290,201|202|3021001|101
230,1102300,201|202
231,1102310,201|202|101
232,1102320,201|202
233,1102330,201|202
234,1102340,201|202|2090021
235,1102350,201|202
236,1102360,201|202|2090019|101
237,1102370,201|202|2035002|101
238,1102380,201|202
239,1102390,201|202
240,1102400,201|202|2090023|101
241,1102410,201|202
242,1102420,201|202
243,1102430,201|202|2031004|101
244,1102440,201|202
245,1102450,201|202
246,1102460,201|202|2035002|101
247,1102470,201|202
248,1102480,201|202
249,1102490,201|202|101
250,1102500,201|202
251,1102510,201|202
252,1102520,201|202|101
253,1102530,201|202|3021001|101
254,1102540,201|202|3022012|101
255,1102550,201|202
256,1102560,201|202
257,1102570,201|202|101
258,1102580,201|202
259,1102590,201|202
260,1102600,201|202
261,1102610,201|202|101
262,1102620,201|202
263,1102630,201|202|2010014|101
264,1102640,201|202|2035002|101
265,1102650,201|202
266,1102660,201|202
267,1102670,201|202
268,1102680,201|202|2090019|101
269,1102690,201|202
270,1102700,201|202
271,1102710,201|202
272,1102720,201|202|101
273,1102730,201|202
274,1102740,201|202|2035002|101
275,1102750,201|202
276,1102760,201|202
277,1102770,201|202|101
278,1102780,201|202
279,1102790,201|202
280,1102800,201|202|2090019
281,1102810,201|202
282,1102820,201|202
283,1102830,201|202|101
284,1102840,201|202
