EffectId,Comment,IntervalTime,TriggerCd,BuffRange,BuffRangeCount,AttrListener,TriggerTiming,TriggerCondition,TriggerAudio,EffectType,EffectParam,TargetType,Fx,NeedOnTriggerSync,TriggerFx,TriggerGroupCd,TriggerCdGroupType
效果id,效果说明（策划用）,"间隔时间(配合触发时机1使用, 单位秒",内置触发CD,"buff范围(光环类Buff, 配合触发时机为范围时生效, -1为无限大，6代表半径为6的圆形，6|5代表长6宽5的方形",buff范围内生效人数（触发时机为8.暗壁类时填写，范围内随机此数量）,属性监听,触发时机（详见对应sheet）,触发条件（lua）,触发音效,效果（详见对应sheet）,效果参数,"目标类型：（0,自己 1,友方包括自己 2,敌方 3,所有人 4,死亡的友方 5,队友包括自己 6友方不包括自己, 7最初召唤者, 8自己的宠物）",触发特效（特效id=挂点类型【0具体挂点，1身高百分比】=对应类型的值【具体挂点或百分比】）,是否通知客户端触发时机（1，通知，0，不通知。默认不通知）,触发特效（废弃）,内置触发共CD,内置触发CD组
200001,物理破防,,,,,,4,HitType|Type=1,,6,1006101,2,,,,,
200002,魔法破防,,,,,,4,HitType|Type=2,,6,1006201,2,,,,,
200003,被动耗蓝,,,,,,0,,,1,7=10,,,,,,
200004,（物理魔法破防）降低魔法防御和物理防御,,,,,,0,,,2,33=-2000|42=-2000,,,,,,
200005,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10005,,6,1000501,0,,,,,
200006,献祭圈,,,6,,,30,BuffCheckNoHas|buff=10006,,68,1000601,2,,,,,
200007,（献祭光环）进献祭圈就流血,1,,,,,1,,,1,5=-300,,,,,,
200008,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10005,0,,,,,
200009,献祭光环和治疗光环耗蓝,1,,,,,1,,,1,7=-2,,,,,,
200089,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10007,,6,1000701,0,,,,,
200090,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10007,0,,,,,
200010,抗暴圈,,,5,,,30,,,68,1000801,2,,,,,
200011,（宁静光环）进抗暴圈就降低暴击,,,,,,0,,,2,55=-20,,,,,,
200091,进战开启光环,1,,,,,1,PetCheckOwnerInFight;BuffCheckNoHas|buff=10009,,6,1000901,0,,,,,
200092,检测是否脱战,1,,,,,1,PetCheckOwnerOutFight,,7,10009,0,,,,,
200012,治疗圈,,,6,,,30,BuffCheckNoHas|buff=10010,,68,1001001,1,,,,,
200013,（治疗光环）进治疗圈就加血,1,,,,,1,,,1,5=100,,,,,,
200014,魔法圈,,,6,,,30,,,68,1001201,1,,,,,
200015,进魔法圈就加蓝（弃用）,1,,,,,1,,,1,7=100,,,,,,
200016,生命吸取,,,,,,4,Dice|Pro=1000;CheckHeal|isHeal=0,,11,AbortHP|attr1=5|ChangePer=1500,0,,,,,
200017,魔法吸取,,,,,,4,Dice|Pro=1000,,11,AbortSP|attr1=7|ChangePer=1500,0,,,,,
200018,是否上效果,,,,,,0,Dice|Pro=2000,,6,1001601,,,,,,
200019,上哪个Buff,,,,,,0,,,11,ZhanDouZhuFuBuffRandom,,,,,,
200020,是否上效果,,,,,,0,Dice|Pro=2000,,6,1001801,,,,,,
200021,上哪个Buff,,,,,,0,,,11,FangYuZhuFuBuffRandom,,,,,,
200022,增加攻击速度,,,,,,0,,,2,69=20,,,,,,
200023,增加攻击力,,,,,,0,,,2,27=20|36=20,,,,,,
200024,增加暴击伤害,,,,,,0,,,2,59=20,,,,,,
200025,增加暴击概率,,,,,,0,,,2,55=20,,,,,,
200026,增加物理防御,,,,,,0,,,2,32=20,,,,,,
200027,增加魔法防御,,,,,,0,,,2,41=20,,,,,,
200028,增加闪避率,,,,,,0,,,2,54=20,,,,,,
200029,增加暴击抗性,,,,,,0,,,2,134=20,,,,,,
200030,反击压制,,1,,,,3,Dice|Pro=300,,9,0=100101301=1=0=0=0,0,,,,,
200031,精灵加护,,1,,,,3,Dice|Pro=300,,9,0=10006=1=0=0=0,0,,,,,
200093,进战开启光环,1,,,,,1,PetCheckOwnerInFight,,6,1002901,0,,,,,
