CommoditID,SortID,CommoditName,OfClassList,InitialPrice,SellTax,NormalTax,PriceLimit,Enable,InitialStock,isPreviewed,PerPurchaseLimit,PerSellLimit,IsPublicity,DefaultState,InventoryRefreshType,NeedChangeState,ChangeStateDay,ChangeStateInventory1,ChangeStateInventory2,ShowUpperLimit,OpenSystemLev,PriceType,PublicityPriceType,DayPurchaseLimitDisplay,Fliter,LocalizationArea
商品ID(对应ItemTable表的ItemID),排序ID(前3位对应OfClassList列，后3位从001开始递增),商品名（策划用）,所属分类列表(对应MerchantGuildTable表ClassificationID列),初始价格P0(初始价格和初始库存必须满足一定的比例关系，例：初始价格很低的道具，库存必定很高，要不然价格波动非常大),商会买入道具，再次卖出时的税率(万分比),普通掉落的道具，在商会卖出的税率,价格限制(对公示/非公示都生效),是否有效(1有效0无效)注：无效道具前端所有地方均不显示，后端不允许上架,初始库存S0(1、公示道具也需要填这个值；2、初始价格和初始库存必须满足一定的比例关系，例：初始价格很低的道具，库存必定很高，要不然价格波动非常大；),是否有预览(无效字段),单次限购次数(这个字段只控制单次限购，每日总次数配置在CountTable表),单次限售次数(这个字段只控制单次限售，每日总次数配置在CountTable表),是否为公示道具(0非公示1公示),公示道具的默认状态(0无效1需要预购2不需要预购),【公示道具】在【不需要预购状态】下，库存的刷新规则(0无效/1即时刷新/2定时刷新，刷新时间对应global表字段InventoryRefreshTime),是否需要切换状态(只对IsPublicity为1的道具生效),切换状态所需连续天数,预购=>不需要预购所需库存(需要与初始库存S0有比例关系),预购=>不需要预购，所需库存(需要与初始库存S0有比例关系),前端显示上限(库存超过上限，显示成xx+),开放的服务器等级,"非公示道具价格浮动类型,对应PriceFunction.lua里的参数symbol(1价格固定，2小幅浮动)","公示道具价格浮动类型,对应PriceFunction.lua里的参数symbol(101基础浮动类型)",今日限购是否显示(0不显示，1显示),筛选字符串，如果配了会在界面上显示筛选框。文本排序在CommoditSortTable表配置,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
3020003,110001,神之金属,110,1000,9000,9000,750=1500,1,200000,0,50,50,0,0,0,1,7,3000,300,99,30,2,101,1,,
3020005,110002,浓缩神之金属,110,5000,9000,9000,3750=7500,1,100000,0,50,50,0,0,0,1,7,6000,600,99,45,2,101,1,,
3020004,110003,铝,110,1000,9000,9000,750=1500,1,200000,0,50,50,0,0,0,1,7,3000,300,99,30,2,101,1,,
3020006,110004,浓缩铝,110,5000,9000,9000,3750=7500,1,100000,0,50,50,0,0,0,1,7,6000,600,99,45,2,101,1,,
3020008,110005,魔力之石,110,7500,9000,9000,7500=7500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,30,1,101,1,,
3020009,110006,混沌金属,110,7500,9000,9000,7500=7500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,30,1,101,1,,
3021002,121001,神秘磁石,121,2500,9000,9000,2500=2500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,70,1,101,1,,
3021004,121002,蕴魔石,121,30000,9000,9000,30000=30000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,70,1,101,1,,
3020007,110007,忽克连的锤子,110,1500,9000,9000,1500=1500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,30,1,101,1,,
3020010,110008,初级解封卷轴,110,10000,9000,9000,10000=10000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,30,1,101,1,,
3020011,110009,中级解封卷轴,110,30000,9000,9000,30000=30000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,50,1,101,1,,
3020012,110011,高级解封卷轴,110,90000,9000,9000,90000=90000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,80,1,101,1,,
3020018,110012,忽克连的秘银锤,110,1500,9000,9000,1500=1500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,80,1,101,1,,
3020019,110013,初级激活卷轴,110,10000,9000,9000,10000=10000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,80,1,101,1,,
3020020,110014,中级激活卷轴,110,30000,9000,9000,30000=30000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,80,1,101,1,,
3020021,110015,高级激活卷轴,110,90000,9000,9000,90000=90000,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,80,1,101,1,,
3023001,120001,金刚石,120,500,9000,9000,500=500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,30,1,101,1,,
3023002,120002,高级金刚石,120,2500,9000,9000,2500=2500,1,9999999,0,50,50,0,0,0,1,7,10000,1000,99,30,1,101,1,,
