Id,Action,Key,Name,RefreshType,RefreshNum,Limit,Active,TellClient,ExtraLimitActivity,RefreshTypePara
主键\r\n(仅供策划排序使用，不要直接拿来做功能),"行为(1非公示道具商会购买,2非公示道具商会出售,3商店购买,4商店出售,5完成乐园团任务6摆摊摊位上限,7zeny刷新摆摊每日计数,8头饰兑换 9 生活职业12烹饪吃菜数 13双人烹饪次数14商人低买高卖技能15抽卡次数 16波利点数奖励公会之心17委托模块用20精英怪奖励次数21RO月礼每日签到次数23圣歌试炼宝箱怪奖励次数24助战相关25助战相关26公会宴会成就计数27免费素质重置次数28免费技能重置次数，29公示道具商会购买限制,30公示道具商会出售限制, 31大世界相关，32每天最多获得道具数量33每日提醒会长绑群次数 ，34迷吾之森预留 35红包相关计数 36塔防每周次数38载具每周升级次数39大世界菜单每日获得奖励次数40月卡礼包购买限制41主题副本计次43烹饪吃菜多倍奖励次数44声望箱子的消耗次数限制45月卡用户每日原地复活次数上线46礼包相关49 道具使用上限，50宝藏猎人采集他人箱子次数51宝藏猎人助力次数52怪物掉落道具上限 53狩猎场杀人，助攻次数56.57直购礼包限购58委托经验加成限制)59付费首充礼包限购",内容(表的主键),名称(策划用),"刷新类型(0不刷新,1每天0点,2每天5点,3每周周一0点，4每周一5点5，每月1号凌晨0点，6每月1号凌晨5点，7每天中午12点)",刷新数量,上限,主动刷新,通知客户端,活动时额外上限次数（活动type=活动参数=额外次数）,活动刷新
1,6,1,摆摊摊位当前值/上限值,0,10,20,0,1,,
2,7,1,zeny刷新摆摊每日计数,2,0,-1,1,1,,
3,9,6010,采摘,2,0,100,1,1,,
4,9,6020,挖矿,2,0,100,1,1,,
5,9,6030,钓鱼,2,0,100,1,1,,
6,10,1,MVP团队奖励次数,2,0,5,1,1,10=1001=2,
7,10,2,MVP参与奖励次数,2,0,5,1,1,10=1001=2,
8,10,3,MVP尾刀奖励次数,2,0,3,1,1,,
9,10,4,MVP公共奖励次数,2,0,4,1,1,,
10,11,1,mini奖励次数,2,0,5,1,1,,
11,20,1,精英怪奖励次数,2,0,5,1,1,,
12,13,0,双人烹饪次数,1,0,1,1,1,,
13,12,1,烹饪吃菜数,1,0,1,1,1,,
14,12,2,烹饪吃菜数,1,0,1,1,1,,
15,12,3,烹饪吃菜数,1,0,1,1,1,,
16,12,4,烹饪吃菜数,1,0,1,1,1,,
17,12,5,烹饪吃菜数,1,0,1,1,1,,
18,14,1,商人低买每日铜币上限,2,0,1000000,1,1,,
19,14,2,商人高卖每日铜币上限,2,0,1000000,1,1,,
20,15,1,每日抽卡次数上限,2,0,10,1,1,,
21,16,1,波利点数奖励公会之心次数,1,0,5,1,1,,
22,17,1,每日抽头饰次数上限,2,0,10,1,1,,
23,8,1020007,抱抱熊,1,0,-1,1,1,,
24,8,1020010,变身抱抱熊,1,0,-1,1,1,,
25,8,1020003,小恶魔双人车,1,0,-1,1,1,,
26,8,1020005,波利热气球,1,0,-1,1,1,,
27,8,1070002,金属头盔,1,0,-1,1,1,,
28,8,1070043,宝石头盔,1,0,-1,1,1,,
29,8,1090009,金属口罩,1,0,-1,1,1,,
30,8,1070038,霹雳雷云,1,0,-1,1,1,,
31,8,1070151,上弦月发夹,1,0,-1,1,1,,
32,8,1070156,音标耳机,1,0,-1,1,1,,
33,8,1090013,叼在嘴里的鱼,1,0,-1,1,1,,
34,8,1070035,圣职之帽,1,0,-1,1,1,,
35,8,1070020,厨师帽,1,0,-1,1,1,,
36,8,1070014,卡普拉发圈,1,0,-1,1,1,,
37,8,1070024,普隆德拉军帽,1,0,-1,1,1,,
38,8,1090004,含在嘴里的棒棒糖,1,0,-1,1,1,,
39,8,1080005,红色小发带,1,0,-1,1,1,,
40,8,1080003,红晕,1,0,-1,1,1,,
41,8,1070009,婚礼发冠,1,0,-1,1,1,,
42,8,1070040,羽毛帽,1,0,-1,1,1,,
43,8,1070037,贝雷帽,1,0,-1,1,1,,
44,8,1080010,独眼龙眼罩,1,0,-1,1,1,,
45,8,1080016,OK绷,1,0,-1,1,1,,
46,8,1070064,狐狸假面,1,0,-1,1,1,,
47,8,1070146,蜡烛头饰,1,0,-1,1,1,,
48,8,1070155,小熊帽,1,0,-1,1,1,,
49,8,1070034,魔法师帽,1,0,-1,1,1,,
50,8,1090007,土司,1,0,-1,1,1,,
51,8,1070063,魔术师帽,1,0,-1,1,1,,
52,8,1070070,巨大的金铃铛,1,0,-1,1,1,,
53,8,1070005,兔耳发圈,1,0,-1,1,1,,
54,8,1070067,小恶魔帽,1,0,-1,1,1,,
55,8,1070145,海棠花发夹,1,0,-1,1,1,,
56,8,1070036,亡者发箍,1,0,-1,1,1,,
57,8,1070050,停止标志头饰,1,0,-1,1,1,,
58,8,1070071,天线头饰,1,0,-1,1,1,,
59,8,1070065,小丑帽,1,0,-1,1,1,,
60,8,1070066,眼镜头饰,1,0,-1,1,1,,
61,8,1090005,胡须,1,0,-1,1,1,,
62,8,1090006,口罩,1,0,-1,1,1,,
63,8,1080013,太阳眼镜,1,0,-1,1,1,,
64,8,1070022,懒洋洋的猫,1,0,-1,1,1,,
65,8,1070144,防风皮革眼镜,1,0,-1,1,1,,
66,8,1070143,耳机,1,0,-1,1,1,,
67,8,1070061,破产之哀,1,0,-1,1,1,,
68,8,1070007,爱心发夹,1,0,-1,1,1,,
69,8,1070015,丸子头饰,1,0,-1,1,1,,
70,8,1080014,泳镜,1,0,-1,1,1,,
71,8,1070030,学生帽,1,0,-1,1,1,,
72,8,1070068,出游帽子,1,0,-1,1,1,,
73,8,1070142,灯泡发圈,1,0,-1,1,1,,
74,8,1070153,自娱自乐箱子I,1,0,-1,1,1,,
75,8,1070154,自娱自乐箱子II,1,0,-1,1,1,,
76,8,1100002,小天使之翼,1,0,-1,1,1,,
77,8,1100003,狂野尾巴,1,0,-1,1,1,,
78,8,1100004,小恶魔之翼,1,0,-1,1,1,,
79,8,1080004,天使翅膀耳饰,1,0,-1,1,1,,
80,8,1080017,恶魔翅膀耳饰,1,0,-1,1,1,,
81,8,1070023,公主冠冕,1,0,-1,1,1,,
82,8,1070025,菲力卡的头箍,1,0,-1,1,1,,
83,8,1100001,波利背包,1,0,-1,1,1,,
