ID,CardName,CardTexture,CardColor,CardAttributes,CanUsePosition,IsShowInHandBook,CardLevelType,SortId,CardCollectAttr,CardStar
卡片ID,卡片名称,卡片立绘,卡片品质(1：白色，2：绿色，3：蓝色，4：紫色，5：暗金，6：金色),卡片携带的属性（属性类型=具体属性ID=数值/参数……；属性类型：0，常规属性；1，buff属性；2，精炼词条属性；3，特技；4，主动技能）,可用部位：部位ID|部位ID（0，全部位不可用；1，主武器；2，副手；3，盔甲；4，披风；5，鞋子；6，饰品；7，配饰，包含头饰、脸饰、嘴饰、背饰；8，载具）,是否在图鉴中显示（1显示 0不显示）,卡片等级类型,排序id,收藏属性,卡片星级
4010001,绿棉虫卡片,MonsterCard/UI_MonsterCard_Lvmianchong.jpg,1,0=22=1|0=47=100,1,1,1,110,0=36=2,1
4010002,疯兔卡片,MonsterCard/UI_MonsterCard_Fengtu.jpg,1,0=24=1|0=55=1|0=53=1,1,1,1,20,0=36=2,1
4010004,曼陀罗魔花卡片,MonsterCard/UI_MonsterCard_Mantuoluomohua.jpg,3,0=192=2000,1,1,2,230,0=192=100,1
4010005,吸血蝙蝠卡片,MonsterCard/UI_MonsterCard_Xixuebianfu.jpg,2,0=27=5|0=36=5|1=510014102=0,1,1,2,30,0=47=20,1
4010009,狼卡片,MonsterCard/UI_MonsterCard_Lang.jpg,3,0=27=15|0=55=1,1,1,3,100,0=47=50,1
4010010,海葵卡片,MonsterCard/UI_MonsterCard_Haikui.jpg,4,0=203=2000,1,1,3,390,0=203=200,1
4010011,海盗之王卡片,MonsterCard/UI_MonsterCard_Haidaozhiwang.jpg,6,1=510014910=0|1=510025414=0,1,1,4,480,0=28=300,3
4010017,哥布灵首领卡片,MonsterCard/UI_MonsterCard_Gebulinshouling.jpg,4,1=510015213=0|1=510023899=0,1,1,4,470,0=48=100,1
4010018,巴风特卡片,MonsterCard/UI_MonsterCard_Bafengte.jpg,6,0=51=-10|0=71=500|1=907401=0,1,1,5,350,0=28=300,3
4010061,远古海神卡片,MonsterCard/UI_MonsterCard_Yuanguhaiwang.jpg,4,0=82=-800,1,1,5,230,0=57=3,1
4010067,艾斯恩魔女卡片,MonsterCard/UI_MonsterCard_Aisienmonv.jpg,4,0=249=1200|1=510027030=0,1,1,6,510,0=249=100,1
4010068,深渊骑士卡片,MonsterCard/UI_MonsterCard_Shenyuanqishi.jpg,4,0=225=1500|1=510027131=0,1,1,6,440,0=225=100,1
4060035,鹗枭男爵卡片,MonsterCard/UI_MonsterCard_Exiaonanjue.jpg,6,1=510028242=0,6,1,6,610,0=65=300,3
4020008,蜗牛卡片,MonsterCard/UI_MonsterCard_Woniu.jpg,1,0=32=2|0=47=200,2,1,1,80,0=27=2,1
4020009,蚁卵卡片,MonsterCard/UI_MonsterCard_Yiluan.jpg,1,0=48=300,2,1,2,100,0=47=20,1
4020001,盗虫卵卡片,MonsterCard/UI_MonsterCard_Daochongluan.jpg,1,0=47=250,2,1,2,10,0=47=20,1
4020003,达拉蛙卡片,MonsterCard/UI_MonsterCard_Tubianwa.jpg,4,0=213=1500,2,1,3,310,0=212=200,1
4020012,兽人战士卡片,MonsterCard/UI_MonsterCard_Shourenzhanshi.jpg,3,0=212=1500,2,1,3,190,0=91=100,1
4020013,僵尸卡片,MonsterCard/UI_MonsterCard_Jangshi.jpg,3,0=48=400|0=183=500,2,1,4,50,0=36=5,1
4020014,毕帝特飞龙卡片,MonsterCard/UI_MonsterCard_Biditefeilong.jpg,3,0=221=1500,2,1,4,280,0=214=100,1
4020006,狂暴木乃伊卡片,MonsterCard/UI_MonsterCard_Kuangbaomunaiyi.jpg,3,0=48=400|1=510016728=0,2,1,5,30,0=57=2,1
4020007,安毕斯卡片,MonsterCard/UI_MonsterCard_Anbisi.jpg,3,0=219=1500,2,1,5,140,0=217=100,1
4020018,兽牙怪卡片,MonsterCard/UI_MonsterCard_Shouyaguai.jpg,4,0=230=1500|0=32=1,2,1,6,420,0=36=12,1
4020019,弑神者卡片,MonsterCard/UI_MonsterCard_Shishenzhe.jpg,4,0=229=1500|0=32=1,2,1,6,460,0=27=12,1
4030001,波利卡片,MonsterCard/UI_MonsterCard_Boli.jpg,1,0=24=2|0=53=1,3,1,1,10,0=27=2,1
4030002,虫蛹卡片,MonsterCard/UI_MonsterCard_Chongyong.jpg,1,0=47=200,3,1,1,100,0=47=20,1
4030004,盗虫卡片,MonsterCard/UI_MonsterCard_Daochong.jpg,1,0=18=1|0=41=2,3,1,2,70,0=36=2,1
4030007,天使波利卡片,MonsterCard/UI_MonsterCard_Tianshiboli.jpg,6,0=48=500|1=510014506=0,3,1,2,290,0=48=300,3
4030011,大嘴鸟卡片,MonsterCard/UI_MonsterCard_Dazuiniao.jpg,3,0=48=500,3,1,3,170,0=91=100,1
4030017,绿苍蝇卡片,MonsterCard/UI_MonsterCard_Lvcangying.jpg,3,0=48=300|0=182=500,3,1,3,80,0=66=100,1
4030009,野猪卡片,MonsterCard/UI_MonsterCard_Yezhu.jpg,3,0=48=400|0=212=300,3,1,4,130,0=47=50,1
4030015,泥人卡片,MonsterCard/UI_MonsterCard_Niren.jpg,4,0=32=1|1=510016526=0,3,1,4,330,0=90=200,1
4030006,幽灵波利卡片,MonsterCard/UI_MonsterCard_Youlingboli.jpg,4,1=510014304=0,3,1,5,310,0=33=100,1
4030016,帕莎纳卡片,MonsterCard/UI_MonsterCard_Pashana.jpg,4,0=32=1|1=510017031=0,3,1,5,220,0=27=12,1
4030026,凯美拉卡片,MonsterCard/UI_MonsterCard_Kaimeila.jpg,6,1=510028545=0,3,1,6,600,0=174=300,3
4030027,暗神官卡片,MonsterCard/UI_MonsterCard_Anshenguan.jpg,4,0=32=1|0=16=2|1=510027535=0,3,1,6,370,0=36=12,1
4040005,秃鹰卡片,MonsterCard/UI_MonsterCard_Tuying.jpg,1,0=53=5,4,1,1,130,0=36=2,1
4040009,龙蝇卡片,MonsterCard/UI_MonsterCard_Longying.jpg,4,0=18=2|0=48=300|1=510021677=0,4,1,2,260,0=189=200,1
4040001,蓝疯兔卡片,MonsterCard/UI_MonsterCard_Lanfengtu.jpg,2,0=22=2|1=510021374=0,4,1,2,220,0=57=2,1
4040003,恶魔波利卡片,MonsterCard/UI_MonsterCard_Emoboli.jpg,6,0=186=3000|1=510017233=0,4,1,3,440,0=186=300,3
4040006,巧克猴卡片,MonsterCard/UI_MonsterCard_Qiaokehou.jpg,3,0=53=5|0=48=300|1=510021576=0,4,1,3,260,0=191=100,1
4040011,蚯蚓卡片,MonsterCard/UI_MonsterCard_Qiuyin.jpg,3,0=183=1500,4,1,4,110,0=186=100,1
4040002,猎蝇卡片,MonsterCard/UI_MonsterCard_Lieying.jpg,3,0=182=1500,4,1,4,100,0=57=2,1
