CardId,CardName,UpgradeCost,UpgradeId
卡片id,卡片名称,升级消耗,升级后卡片id
4010001,绿棉虫卡片,4010001=2,401000102
4010002,疯兔卡片,4010002=2,401000202
4010004,曼陀罗魔花卡片,4010004=2,401000402
4010005,吸血蝙蝠卡片,4010005=2,401000502
4010009,狼卡片,4010009=2,401000902
4010010,海葵卡片,4010010=2,401001002
4010017,哥布灵首领卡片,4010017=2,401001702
4010061,远古海神卡片,4010061=2,401006102
4010067,艾斯恩魔女卡片,4010067=2,401006702
4010068,深渊骑士卡片,4010068=2,401006802
4020008,蜗牛卡片,4020008=2,402000802
4020009,蚁卵卡片,4020009=2,402000902
4020001,盗虫卵卡片,4020001=2,402000102
4020003,达拉蛙卡片,4020003=2,402000302
4020012,兽人战士卡片,4020012=2,402001202
4020013,僵尸卡片,4020013=2,402001302
4020014,毕帝特飞龙卡片,4020014=2,402001402
4020006,狂暴木乃伊卡片,4020006=2,402000602
4020007,安毕斯卡片,4020007=2,402000702
4020018,兽牙怪卡片,4020018=2,402001802
4020019,弑神者卡片,4020019=2,402001902
4030001,波利卡片,4030001=2,403000102
4030002,虫蛹卡片,4030002=2,403000202
4030004,盗虫卡片,4030004=2,403000402
4030011,大嘴鸟卡片,4030011=2,403001102
4030017,绿苍蝇卡片,4030017=2,403001702
4030009,野猪卡片,4030009=2,403000902
4030015,泥人卡片,4030015=2,403001502
4030006,幽灵波利卡片,4030006=2,403000602
4030016,帕莎纳卡片,4030016=2,403001602
4030027,暗神官卡片,4030027=2,403002702
4040005,秃鹰卡片,4040005=2,404000502
4040009,龙蝇卡片,4040009=2,404000902
4040001,蓝疯兔卡片,4040001=2,404000102
4040006,巧克猴卡片,4040006=2,404000602
4040011,蚯蚓卡片,4040011=2,404001102
4040002,猎蝇卡片,4040002=2,404000202
4040008,小巴风特卡片,4040008=2,404000802
4040022,傀儡娃娃卡片,4040022=2,404002202
4040024,幽灵剑士卡片,4040024=2,404002402
4040025,朽魔卡片,4040025=2,404002502
4050001,苍蝇卡片,4050001=2,405000102
4050005,腐尸卡片,4050005=2,405000502
4050006,玛勒盗虫卡片,4050006=2,405000602
4050007,转转蛋卡片,4050007=2,405000702
4050002,木乃伊犬卡片,4050002=2,405000202
4050003,人鱼士兵卡片,4050003=2,405000302
4050008,鬼女卡片,4050008=2,405000802
4050012,狂暴野猫卡片,4050012=2,405001202
4050013,地狱梦魇卡片,4050013=2,405001302
4050015,腐尸战俘卡片,4050015=2,405001502
4060004,魔菇卡片,4060004=2,406000402
4060007,森灵卡片,4060007=2,406000702
4060001,克瑞米卡片,4060001=2,406000102
4060002,溜溜猴卡片,4060002=2,406000202
4060008,邪骸海盗卡片,4060008=2,406000802
4060009,气泡虫卡片,4060009=2,406000902
4060015,螳螂卡片,4060015=2,406001502
4060016,剑鱼卡片,4060016=2,406001602
4060025,犬妖卡片,4060025=2,406002502
4060026,恶灵卡片,4060026=2,406002602
4060031,鹗枭首领卡片,4060031=2,406003102
4060032,邪恶使者卡片,4060032=2,406003202
4070001,树精卡片,4070001=2,407000102
4070017,钢鬃巨熊卡片,4070017=2,407001702
4070003,土拨鼠卡片,4070003=2,407000302
4070004,松鼠卡片,4070004=2,407000402
4070008,马尔杜克卡片,4070008=2,407000802
4070002,小恶魔卡片,4070002=2,407000202
4070006,狂暴蚁后卡片,4070006=2,407000602
4070018,迷幻之王卡片,4070018=2,407001802
4070022,钟塔守护者卡片,4070022=2,407002202
401001101,封印的海盗之王卡片,401001102=20,4010011
401001801,封印的巴风特卡片,401001802=20,4010018
406003501,封印的鹗枭男爵卡片,406003502=20,4060035
403000701,封印的天使波利卡片,400101=20,4030007
402000501,封印的凯美拉卡片,403002602=20,4030026
404000301,封印的恶魔波利卡片,400101=20,4040003
405001201,封印的黑暗之王卡片,405001402=20,4050014
407000701,封印的蜂后卡片,407000702=20,4070007
401000102,2星绿棉虫卡片,401000102=2,401000103
401000202,2星疯兔卡片,401000202=2,401000203
401000402,2星曼陀罗魔花卡片,401000402=2,401000403
401000502,2星吸血蝙蝠卡片,401000502=2,401000503
401000902,2星狼卡片,401000902=2,401000903
401001002,2星海葵卡片,401001002=2,401001003
401001702,2星哥布灵首领卡片,401001702=2,401001703
401006102,2星远古海神卡片,401006102=2,401006103
401006702,2星艾斯恩魔女卡片,401006702=2,401006703
401006802,2星深渊骑士卡片,401006802=2,406003503
402000802,2星蜗牛卡片,402000802=2,402000803
402000902,2星蚁卵卡片,402000902=2,402000903
402000102,2星盗虫卵卡片,402000102=2,402000103
402000302,2星达拉蛙卡片,402000302=2,402000303
402001202,2星兽人战士卡片,402001202=2,402001203
402001302,2星僵尸卡片,402001302=2,402001303
402001402,2星毕帝特飞龙卡片,402001402=2,402001403
402000602,2星狂暴木乃伊卡片,402000602=2,402000603
402000702,2星安毕斯卡片,402000702=2,402000703
