Position,IntensifyLevel,IntensifyAttr,IntensifyCost,IntensifyLimit
装备部位,强化等级,强化属性(0=属性id=0=value）,强化消耗,强化上限（Base等级的系数）
1,0,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,1,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,2,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,3,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,4,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,5,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,6,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,7,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,8,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,9,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,10,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,11,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,12,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,13,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,14,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,15,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,16,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,17,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,18,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,19,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,20,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,21,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,22,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,23,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,24,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,25,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,26,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,27,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,28,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,29,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,30,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,31,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,32,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,33,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,34,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,35,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,36,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,37,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,38,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,39,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,40,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,41,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,42,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,43,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,44,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,45,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,46,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,47,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,48,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,49,0=53=0=2|0=67=0=2,300300=5|101=10000,2
1,50,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,0,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,1,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,2,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,3,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,4,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,5,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,6,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,7,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,8,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,9,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,10,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,11,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,12,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,13,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,14,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,15,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,16,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,17,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,18,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,19,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,20,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,21,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,22,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,23,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,24,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,25,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,26,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,27,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,28,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,29,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,30,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,31,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,32,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,33,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,34,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,35,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,36,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,37,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,38,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,39,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,40,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,41,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,42,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,43,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,44,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,45,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,46,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,47,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,48,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,49,0=53=0=2|0=67=0=2,300300=5|101=10000,2
2,50,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,0,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,1,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,2,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,3,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,4,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,5,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,6,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,7,0=53=0=2|0=67=0=2,300300=5|101=10000,2
3,8,0=53=0=2|0=67=0=2,300300=5|101=10000,2
