ID,ReformSkill,ProfessionID,SkillID,ReformAttr,Weight,EquipText
序号,技能库ID,职业ID,强化的技能UUID,强化属性(0=属性ID=value=是否随机|2=临时属性string=value=是否随机),技能权重,"文本描述（属性类为空，技能伤害增加为5001，普通攻击为5002,）"
1,101001,5000|5101|5102,500001,2=REFORM_SKILLPER_500001=120=1|2=REFORM_SKILLPER_510101=120=1|2=REFORM_SKILLPER_510201=120=1,1000,5002
2,101001,5000|5101|5102,500025,2=REFORM_SKILLPER_500025=120=1,1000,5001
3,101001,5101|5102,510103,2=REFORM_SKILLPER_510103=120=1,1000,5001
4,101001,5101|5102,510112,2=REFORM_SKILLPER_510112=120=1,1000,5001
5,101001,5101|5102,510113,2=REFORM_SKILLPER_510113=120=1|2=REFORM_SKILLPER_510114=120=1,1000,5001
6,101001,5102,510204,2=REFORM_SKILLPER_510204=120=1,1000,5001
7,101001,5102,510205,2=REFORM_SKILLPER_510205=120=1,1000,5001
8,101001,5102,510209,2=REFORM_SKILLPER_510209=120=1,1000,5001
9,102001,2000|2101|2102|2201|2202,200001,2=REFORM_SKILLPER_200001=200=1|2=REFORM_SKILLPER_210101=200=1|2=REFORM_SKILLPER_210201=200=1|2=REFORM_SKILLPER_220101=200=1|2=REFORM_SKILLPER_220201=200=1,1000,5002
10,102001,2000|2101|2102|2201|2202,200004,2=REFORM_SKILLPER_200004=200=1,1000,5001
11,102001,2101|2102,200013,2=REFORM_SKILLPER_200013=200=1,1000,5001
12,102001,2101|2102,210113,2=REFORM_SKILLPER_210113=200=1,1000,5001
13,102001,2101|2102,210114,2=REFORM_SKILLPER_210114=200=1,1000,5001
14,102001,2101|2102,210115,2=REFORM_SKILLPER_210115=200=1,1000,5001
15,102001,2102,210209,2=REFORM_SKILLPER_210209=200=1,1000,5001
16,102001,2201|2202,220108,2=REFORM_SKILLPER_220108=200=1,1000,5001
17,102001,2201|2202,220109,2=REFORM_SKILLPER_220109=200=1,1000,5001
18,102001,2201|2202,220112,2=REFORM_SKILLPER_220112=200=1,1000,5001
19,102001,2202,220202,2=REFORM_SKILLPER_220202=200=1,1000,5001
20,103001,2000|2101|2102|2201|2202,200001,2=REFORM_SKILLPER_200001=200=1|2=REFORM_SKILLPER_210101=200=1|2=REFORM_SKILLPER_210201=200=1|2=REFORM_SKILLPER_220101=200=1|2=REFORM_SKILLPER_220201=200=1,1000,5002
21,103001,2000|2101|2102|2201|2202,200004,2=REFORM_SKILLPER_200004=200=1,1000,5001
22,103001,2101|2102,200013,2=REFORM_SKILLPER_200013=200=1,1000,5001
23,103001,2101|2102,210113,2=REFORM_SKILLPER_210113=200=1,1000,5001
24,103001,2101|2102,210114,2=REFORM_SKILLPER_210114=200=1,1000,5001
25,103001,2101|2102,210115,2=REFORM_SKILLPER_210115=200=1,1000,5001
26,103001,2102,210209,2=REFORM_SKILLPER_210209=200=1,1000,5001
27,103001,2201|2202,220108,2=REFORM_SKILLPER_220108=200=1,1000,5001
28,103001,2201|2202,220109,2=REFORM_SKILLPER_220109=200=1,1000,5001
29,103001,2201|2202,220112,2=REFORM_SKILLPER_220112=200=1,1000,5001
30,103001,2202,220202,2=REFORM_SKILLPER_220202=200=1,1000,5001
31,104001,2000|2101|2102|2201|2202,200001,2=REFORM_SKILLPER_200001=200=1|2=REFORM_SKILLPER_210101=200=1|2=REFORM_SKILLPER_210201=200=1|2=REFORM_SKILLPER_220101=200=1|2=REFORM_SKILLPER_220201=200=1,1000,5002
32,104001,2000|2101|2102|2201|2202,200004,2=REFORM_SKILLPER_200004=200=1,1000,5001
33,104001,2101|2102,200013,2=REFORM_SKILLPER_200013=200=1,1000,5001
34,104001,2101|2102,210104,2=REFORM_SKILLPER_210104=200=1,1000,5001
35,104001,2101|2102,210108,2=REFORM_SKILLPER_210108=200=1,1000,5001
36,104001,2101|2102,210114,2=REFORM_SKILLPER_210114=200=1,1000,5001
37,104001,2101|2102,210115,2=REFORM_SKILLPER_210115=200=1,1000,5001
38,104001,2102,210205,2=REFORM_SKILLPER_210205=200=1,1000,5001
39,104001,2102,210209,2=REFORM_SKILLPER_210209=200=1,1000,5001
40,104001,2201|2202,220108,2=REFORM_SKILLPER_220108=200=1,1000,5001
41,104001,2201|2202,220109,2=REFORM_SKILLPER_220109=200=1,1000,5001
42,104001,2201|2202,220112,2=REFORM_SKILLPER_220112=200=1,1000,5001
43,104001,2202,220202,2=REFORM_SKILLPER_220202=200=1,1000,5001
44,105001,2000|2101|2102|2201|2202,200001,2=REFORM_SKILLPER_200001=200=1|2=REFORM_SKILLPER_210101=200=1|2=REFORM_SKILLPER_210201=200=1|2=REFORM_SKILLPER_220101=200=1|2=REFORM_SKILLPER_220201=200=1,1000,5002
45,105001,2000|2101|2102|2201|2202,200004,2=REFORM_SKILLPER_200004=200=1,1000,5001
46,105001,2101|2102,200013,2=REFORM_SKILLPER_200013=200=1,1000,5001
47,105001,2101|2102,210104,2=REFORM_SKILLPER_210104=200=1,1000,5001
48,105001,2101|2102,210108,2=REFORM_SKILLPER_210108=200=1,1000,5001
49,105001,2101|2102,210114,2=REFORM_SKILLPER_210114=200=1,1000,5001
50,105001,2101|2102,210115,2=REFORM_SKILLPER_210115=200=1,1000,5001
