ID,ResolveAmount,ExpendZeny
道具ID,分解后获得对应材料（获得物品ID=下限=上限），区间左闭右开，支持配多个,分解卡片所需要花费的货币数量（材料ID=数量），支持配多个
12110101,101=20000=20001,101=15000
1111901,101=20000=20001,101=15000
6112801,101=20000=20001,101=15000
2113901,101=20000=20001,101=15000
4115801,101=20000=20001,101=15000
4115901,101=20000=20001,101=15000
5117201,101=20000=20001,101=15000
12333305,2034008=50=55,101=50000
12333307,2034010=70=75,101=50000
12333308,2034011=90=95,101=50000
12333405,2034008=50=55,101=50000
12333407,2034010=70=75,101=50000
12333408,2034011=90=95,101=50000
12333507,2034010=70=75,101=50000
12333508,2034011=90=95,101=50000
12333607,2034010=70=75,101=50000
12333608,2034011=90=95,101=50000
12333708,2034011=90=95,101=50000
12333807,2034010=70=75,101=50000
12333808,2034011=90=95,101=50000
12333907,2034010=70=75,101=50000
12333908,2034011=90=95,101=50000
13334005,2034008=50=55,101=50000
13334007,2034010=70=75,101=50000
13334008,2034011=90=95,101=50000
13334105,2034008=50=55,101=50000
13334107,2034010=70=75,101=50000
13334108,2034011=90=95,101=50000
13334207,2034010=70=75,101=50000
13334208,2034011=90=95,101=50000
13334307,2034010=70=75,101=50000
13334308,2034011=90=95,101=50000
13334408,2034011=90=95,101=50000
4334505,2034008=50=55,101=50000
4334507,2034010=70=75,101=50000
4334508,2034011=90=95,101=50000
4334605,2034008=50=55,101=50000
4334607,2034010=70=75,101=50000
4334608,2034011=90=95,101=50000
4334705,2034008=50=55,101=50000
4334707,2034010=70=75,101=50000
4334708,2034011=90=95,101=50000
4334805,2034008=50=55,101=50000
4334807,2034010=70=75,101=50000
4334808,2034011=90=95,101=50000
4334905,2034008=50=55,101=50000
4334907,2034010=70=75,101=50000
4334908,2034011=90=95,101=50000
4335005,2034008=50=55,101=50000
4335105,2034008=50=55,101=50000
4335107,2034010=70=75,101=50000
4335108,2034011=90=95,101=50000
4335207,2034010=70=75,101=50000
4335208,2034011=90=95,101=50000
4335307,2034010=70=75,101=50000
4335308,2034011=90=95,101=50000
4335407,2034010=70=75,101=50000
4335408,2034011=90=95,101=50000
4335507,2034010=70=75,101=50000
4335508,2034011=90=95,101=50000
4335607,2034010=70=75,101=50000
4335608,2034011=90=95,101=50000
4335708,2034011=90=95,101=50000
9335805,2034008=50=55,101=50000
9335807,2034010=70=75,101=50000
9335808,2034011=90=95,101=50000
9335905,2034008=50=55,101=50000
9335907,2034010=70=75,101=50000
9335908,2034011=90=95,101=50000
9336007,2034010=70=75,101=50000
9336008,2034011=90=95,101=50000
9336107,2034010=70=75,101=50000
