Id,EnchantId,Text,Property,BindProperty,PropertyDec,Quality,Pro,RandomType,SortId,TypeId,TypeScore,profession,LimitTime
Id,附魔id,策划备注,词条（词条类型=词条ID=参数）,特技捆绑词条（配置格式：词条ID1|词条ID2）可不填或者只配置1个,词缀描述,词缀品质，配置格式：1:绿色2：蓝色3:紫色,高级附魔词缀概率，配置格式：1库权重|2库权重|3库权重,高级附魔数值随机范围，配置格式：区间1=区间2=权重|区间2=区间3=权重，先随机决定抽到哪个区间，再从【区间1，区间2）中等概率随机具体数值,排序Id，Id越小，附魔库中位置越靠前,属性类型分类，1：特技属性，2：六维属性，3：通用属性,属性评分，这里配置的是满分值,职业字段，多个用竖线隔开,附魔门槛(下限值，>此值才可以随到）
1,1,70级武器库,0=14=6,,2011,1,50,1=2=500|2=3=400|3=4=100,1,2,60,2000|5000|6000|3201,
2,1,70级武器库,0=16=6,,2012,1,50,1=2=500|2=3=400|3=4=100,2,2,60,3000|4000,
3,1,70级武器库,0=18=6,,2013,1,50,1=2=500|2=3=400|3=4=100,3,2,60,2000|5000|6000|7000|3201,
4,1,70级武器库,0=20=6,,2014,1,50,1=2=500|2=3=400|3=4=100,4,2,60,3000|4000|7000,
5,1,70级武器库,0=27=40,,2002,1,50,1=14=500|14=22=400|22=28=100,5,3,30,2000|5000|6000|7000|3201,
6,1,70级武器库,0=36=40,,2001,1,50,1=14=500|14=22=400|22=28=100,6,3,30,3000|4000,
7,1,70级武器库,0=28=400,,2000,1,50,4=140=500|140=220=400|220=280=100,7,3,30,2000|5000|6000|7000|3201,
8,1,70级武器库,0=37=400,,2112,1,50,4=140=500|140=220=400|220=280=100,8,3,30,3000|4000,
9,1,70级武器库,0=71=400,,2113,1,50,4=140=500|140=220=400|220=280=100,9,3,30,2000|5000|6000|7000|3201,
10,1,70级武器库,0=14=6,,2011,2,50,4=5=100|5=7=20,10,2,30,2000|5000|6000|3201,
11,1,70级武器库,0=16=6,,2012,2,50,4=5=100|5=7=20,11,2,30,3000|4000,
12,1,70级武器库,0=18=6,,2013,2,50,4=5=100|5=7=20,12,2,30,2000|5000|6000|7000|3201,
13,1,70级武器库,0=20=6,,2014,2,50,4=5=100|5=7=20,13,2,30,3000|4000|7000,
14,1,70级武器库,0=27=40,,2002,2,50,28=32=100|32=41=20,14,3,30,2000|5000|6000|7000|3201,
15,1,70级武器库,0=36=40,,2001,2,50,28=32=100|32=41=20,15,3,30,3000|4000,
16,1,70级武器库,0=28=400,,2000,2,50,280=320=100|320=401=20,16,3,30,2000|5000|6000|7000|3201,
17,1,70级武器库,0=37=400,,2112,2,50,280=320=100|320=401=20,17,3,30,3000|4000,
18,1,70级武器库,0=71=400,,2113,2,50,280=320=100|320=401=20,18,3,30,2000|5000|6000|7000|3201,
19,1,70级武器库,1=710014001=0,,2021,3,512,1=1=1,19,1,60,2000|5000|6000|3201,
20,1,70级武器库,1=710014102=0,,2021,3,256,1=1=1,20,1,60,2000|5000|6000|3201,
21,1,70级武器库,1=710014203=0,,2021,3,128,1=1=1,21,1,60,2000|5000|6000|3201,
22,1,70级武器库,1=710015011=0,,2028,3,512,1=1=1,22,1,60,3000|4000,
23,1,70级武器库,1=710015112=0,,2028,3,256,1=1=1,23,1,60,3000|4000,
24,1,70级武器库,1=710015213=0,,2028,3,128,1=1=1,24,1,60,3000|4000,
25,1,70级武器库,1=710016021=0,,2035,3,512,1=1=1,25,1,60,7000,
26,1,70级武器库,1=710016122=0,,2035,3,256,1=1=1,26,1,60,7000,
27,1,70级武器库,1=710016223=0,,2035,3,128,1=1=1,27,1,60,7000,
28,1,70级武器库,1=710023091=0,,2042,3,512,1=1=1,28,1,60,2000|5000|6000|7000|3201,
29,1,70级武器库,1=710023192=0,,2042,3,256,1=1=1,29,1,60,2000|5000|6000|7000|3201,
30,1,70级武器库,1=710023293=0,,2042,3,128,1=1=1,30,1,60,2000|5000|6000|7000|3201,
31,1,70级武器库,1=710017031=0,,2049,3,512,1=1=1,31,1,60,3000|4000,
32,1,70级武器库,1=710017132=0,,2049,3,256,1=1=1,32,1,60,3000|4000,
33,1,70级武器库,1=710017233=0,,2049,3,128,1=1=1,33,1,60,3000|4000,
36,2,80级武器库,0=14=8,,2011,1,50,3=4=500|4=5=400|5=6=100,36,2,30,2000|5000|6000|3201,
37,2,80级武器库,0=16=8,,2012,1,50,3=4=500|4=5=400|5=6=100,37,2,30,3000|4000,
38,2,80级武器库,0=18=8,,2013,1,50,3=4=500|4=5=400|5=6=100,38,2,60,2000|5000|6000|7000|3201,
39,2,80级武器库,0=20=8,,2014,1,50,3=4=500|4=5=400|5=6=100,39,2,30,3000|4000|7000,
40,2,80级武器库,0=27=50,,2002,1,50,10=24=500|24=32=400|32=38=100,40,3,30,2000|5000|6000|7000|3201,
41,2,80级武器库,0=36=50,,2001,1,50,10=24=500|24=32=400|32=38=100,41,3,30,3000|4000,
42,2,80级武器库,0=28=500,,2000,1,50,100=240=500|240=320=400|320=380=100,42,3,30,2000|5000|6000|7000|3201,
43,2,80级武器库,0=37=500,,2112,1,50,100=240=500|240=320=400|320=380=100,43,3,30,3000|4000,
44,2,80级武器库,0=71=500,,2113,1,15,100=240=500|240=320=400|320=380=100,44,3,30,2000|5000|6000|7000|3201,
45,2,80级武器库,0=14=8,,2011,2,50,6=8=100|8=9=20,45,2,30,2000|5000|6000|3201,
46,2,80级武器库,0=16=8,,2012,2,50,6=8=100|8=9=20,46,2,30,3000|4000,
47,2,80级武器库,0=18=8,,2013,2,50,6=8=100|8=9=20,47,2,30,2000|5000|6000|7000|3201,
48,2,80级武器库,0=20=8,,2014,2,50,6=8=100|8=9=20,48,2,30,3000|4000|7000,
49,2,80级武器库,0=27=50,,2002,2,50,38=42=100|42=46=20,49,3,30,2000|5000|6000|7000|3201,
50,2,80级武器库,0=36=50,,2001,2,50,38=42=100|42=46=20,50,3,30,3000|4000,
51,2,80级武器库,0=28=500,,2000,2,50,380=420=100|420=451=20,51,3,30,2000|5000|6000|7000|3201,
52,2,80级武器库,0=37=500,,2112,2,50,380=420=100|420=451=20,52,3,30,3000|4000,
53,2,80级武器库,0=71=500,,2113,2,15,380=420=100|420=451=20,53,3,30,2000|5000|6000|7000|3201,
54,2,80级武器库,1=710014001=0,,2021,3,512,1=1=1,54,1,60,2000|5000|6000|3201,
55,2,80级武器库,1=710014102=0,,2021,3,256,1=1=1,55,1,60,2000|5000|6000|3201,
56,2,80级武器库,1=710014203=0,,2021,3,128,1=1=1,56,1,60,2000|5000|6000|3201,
57,2,80级武器库,1=710015011=0,,2028,3,512,1=1=1,57,1,60,3000|4000,
58,2,80级武器库,1=710015112=0,,2028,3,256,1=1=1,58,1,60,3000|4000,
59,2,80级武器库,1=710015213=0,,2028,3,128,1=1=1,59,1,60,3000|4000,
60,2,80级武器库,1=710016021=0,,2035,3,512,1=1=1,60,1,60,7000,
61,2,80级武器库,1=710016122=0,,2035,3,256,1=1=1,61,1,60,7000,
62,2,80级武器库,1=710016223=0,,2035,3,128,1=1=1,62,1,60,7000,
63,2,80级武器库,1=710023091=0,,2042,3,512,1=1=1,63,1,60,2000|5000|6000|7000|3201,
64,2,80级武器库,1=710023192=0,,2042,3,256,1=1=1,64,1,60,2000|5000|6000|7000|3201,
65,2,80级武器库,1=710023293=0,,2042,3,128,1=1=1,65,1,60,2000|5000|6000|7000|3201,
66,2,80级武器库,1=710017031=0,,2049,3,512,1=1=1,66,1,60,3000|4000,
67,2,80级武器库,1=710017132=0,,2049,3,256,1=1=1,67,1,60,3000|4000,
68,2,80级武器库,1=710017233=0,,2049,3,128,1=1=1,68,1,60,3000|4000,
