FashionID,FashionName,FashionModel,IsHikaru,SortID,FashionFrame,Coloration,ItemQuality,ItemGrade,IdleAnim,RunAnim,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone,IsHide,LocalizationArea
时装ID,时装名称,模型,身体模型是否有高光,排序id,边框,染色,道具品质(1C2B3A4S0无品质不显示),道具级别（1普通 2稀有 3限定）,待机动画（非战斗）,移动动画（非战斗）,简约-100<=>华丽100,活泼-100<=>成熟100,邪气-100<=>正义100,清凉-100<=>保暖100,亮色-100<=>暗色100,是否在衣橱隐藏（0显示 1隐藏）默认值为0,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）
1010001,结婚礼服 燕尾服,Fashion_M_JieHunLiFu_Body,1,1,0,0,4,3,Fashion_M_JieHunLiFu_Idle,Fashion_M_JieHunLiFu_Run,100,100,100,70,-100,,9
1010002,结婚礼服 婚纱,Fashion_F_JieHunLiFu_Body,1,2,0,0,4,3,Fashion_F_JieHunLiFu_Idle,Fashion_F_JieHunLiFu_Run,100,100,100,70,-100,,9
1010005,恶魔派对,Fashion_M_XiaoEMo_Body,1,3,0,0,4,1,Fashion_M_XiaoEMo_Idle,Fashion_M_XiaoEMo_Run,80,80,-100,-50,100,,
1010006,恶魔派对,Fashion_F_XiaoEMo_Body,1,4,0,0,4,1,Fashion_F_XiaoEMo_Idle,Fashion_F_XiaoEMo_Run,80,80,-100,-50,100,,
1010007,执事,Fashion_M_ZhiShi_Body,1,5,0,0,4,2,Fashion_M_ZhiShi_Idle,Fashion_M_ZhiShi_Run,-80,-70,100,-50,50,,
1010008,女仆装,Fashion_F_NvPu_Body,0,6,0,0,4,2,Fashion_F_NvPu_Idle,Fashion_F_NvPu_Run,-80,-70,100,-50,50,,
1010011,水手服,Fashion_M_ShuiShou_Body,1,7,0,0,4,1,Fashion_M_ShuiShou_Idle,Fashion_M_ShuiShou_Run,-90,-80,80,-100,-80,,
1010012,水手服,Fashion_F_ShuiShouFu_Body,1,8,0,0,4,1,Fashion_F_ShuiShou_Idle,Fashion_F_ShuiShou_Run,-90,-80,80,-100,-80,,
1010013,童话世界,Fashion_M_GongTin_Body,1,9,0,0,4,2,Fashion_M_GongTin_Idle,Fashion_M_GongTin_Run,90,80,80,60,50,,
