Setting,Comment,Value
事项,注释,值
ApplicationListMaxNum,公会申请列表最大人数,30
UserApplicationMaxNum,玩家申请公会数上限,30
DeaconNum,执事数量,5
GuildNameChangeRecordLimit,公会名字最大记录次数,5
SearchShowLimit,搜索显示数量,20
NameLengthMaxLimit,公会名长度最大字数,7
NameLengthMinLimit,公会名长度最小字数,2
NoticeLengthMaxLimit,公告/招募宣言最大字数,80
OnekeyapplicationNum,一键申请公会数量,20
OnekeyapplicationCD,一键申请公会间隔时间（分钟）,5
NewsQuantityLimit,新闻数量上限,200
KickConsumeVitality,踢离线一定天数内玩家扣除元气值,3=5
GuildChairman,会长职称名,CHAIRMEN
GuildViceChairman,副会长职称名,VICECHAIRMAN
GuildDirector,理事职称名,DIRECTOR
GuildDeacon,执事职称名,DEACON
GuildBeauty,魅力宝贝职称名,BEAUTY
NumberOfViceChairman,副会长职位数,2
NumberOfDirector,理事职位数,4
NumberOfDeacon,执事职位数,6
MemberTitleLength,自定义职称长度,2=5
NumberOfBeauty,公会魅力宝贝人数,1
BeautyJoinTimeLimit,魅力宝贝加入公会时间限制（天）,0
BeautyActiveTimeLimit,魅力宝贝最近一周活跃度限制,500
BeautyGuildLevelLimit,魅力宝贝特权对公会娱乐室等级要求,3
BeautyBeGivenTimes,魅力宝贝额外被赠送头饰材料次数,10
GuildBeautyVoiceChatTime,魅力宝贝公会聊天时长（秒）,30
GuildBeautyExclusiveItem,魅力宝贝当选后激活的外观道具id（头像男id|头像女id|头像框id|气泡框id）,1030024|1030025|1041002|1040026
GuildBeautyChatTab,魅力宝贝当选后激活的聊天标签id,1001
GuildBeautyBlessLimit,魅力宝贝拍一拍每日领奖上限次数,1
GuildBeautyNudgeCount,魅力宝贝拍一拍二阶段次数（不含一阶段）,2
GuildBeautyNpcID,魅力宝贝公会场景npcid,6038
GuildBeautyDramaID,魅力宝贝拍一拍剧本id,6038
GuildBeautyTagID,魅力宝贝拍一拍对话库id,GongHuiBaoBei101|GongHuiBaoBei201|GongHuiBaoBei301
GuildMemberInitialNum, 公会初始人数,80
GuildMemberInitialBankroll, 公会初始资金,1000000
GuildUpgradingDiamondCost,公会升级加速单次捐献货币数量,101=200000
GuildUpgradingDiamondAward,公会升级加速捐献喵喵果实获得贡献,50
GuildUpgradingDiamondTime,公会升级加速捐献喵喵果实加速时间（分）,10
GuildUpgradingGoodsCost,公会升级加速所需物品,2040001=1
GuildUpgradingGoodsAward,公会升级加速捐赠物品获得贡献,150
GuildUpgradingGoodsTime,公会升级加速捐赠物品加速时间（分）,30
GuildMemberWelfare,公会分红,1=22000|2=16000|3=12000|4=8000|5=12000|6=6000|7=6000|8=6000
