ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
300001,4,,,Jiefeng\Jiefeng_dajiaotang.png,
300002,1,,在普隆德拉的东北角坐落着一座金碧辉煌的大教堂，标志是美丽的彩窗和精致的雕塑，同时也是服事们修行和转职的场所。\r\n这神圣庄严的大教堂地下似乎有一间可怕的密室，埋藏着有关皇室诅咒的秘密……,,
300101,4,,,Jiefeng\Jiefeng_pulongdela.png,
300102,1,,普隆德拉的中央喷泉地处最为繁华的市中心，普隆德拉的居民们常常来到喷泉附近的商店里购物，或换上最美的衣服在这里举办大型舞会。\r\n喷泉上方巨大的雕塑正是卢恩王国的权力执行机关卢恩骑士团的象征，沉默地守护着矗立在身后的卢恩皇宫。,,
300201,4,,,Jiefeng\Jiefeng_xianzhezhijian.png,
300202,1,,贤者之间的主人是共和国国宝级学者巴雷蒙德。\r\n他致力于古代遗迹研究和科学研究，尤其对于“伊米尔之心”的钻研，更是达到了前所未有的高度，震惊了学术界。站在仿佛图书馆一般的贤者之间，是否也感受到了知识的熏陶呢？,,
320001,4,,,Jiefeng\Jiefeng_jifenta.png,
320002,1,,吉芬，是卢恩七皇室中的海涅家掌管的魔法之都，米德加兹大陆上所有法师们学习、修行的地点，城市中心建有一座恢弘的吉芬中央塔。据当地的居民说，曾在这里见过皇室驱魔师宝妮，可是宝妮为什么会出现在这里呢……？,,
360001,4,,,Jiefeng\Jiefeng_tiaozhanchang.png,
360002,1,,在伊斯鲁德这座平静的海滨小镇里，却建有一座令人闻风丧胆的挑战场，因为在这里，只有真正的强者才能笑到最后。如果想要证明自己的实力，就来挑战场试试——只要进入挑战场接受挑战，可就没有反悔的余地咯。,,
330001,4,,,Jiefeng\Jiefeng_heidian.png,
330002,1,,梦罗克这间毫不起眼的地下小酒馆，不仅能给路过的冒险者们提供上乘的美酒，同时也是探听各路消息最好的所在。这里鱼龙混杂，喝酒的时候可要小心些，说不定刺客工会那些神龙见首不见尾的家伙们正坐在你身边。,,
330101,4,,,Jiefeng\Jiefeng_mengluokeall.png,
330102,1,,梦罗克城的中心建有一座华丽的城堡，据梦罗克居民传言，这座城堡不仅是梦罗克领主的居所，同时镇守着一个封印。随着最近梦罗克城中越来越多奇怪事件的发生，让人不由得联想到那巨大封印之下的秘密……,,
310001,4,,,Jiefeng\Jiefeng_dayinghuashu.png,
310002,1,,斐扬是一座建造在森林之中的静谧城市，建筑与人文风情都处处都保留着最传统的风貌。最北端有一棵美丽的大樱花树，据说已经在这片土地上生长了数百年。站在樱花树下聆听风铃清脆的响声，似乎能听到一段很久很久以前凄美的爱情故事……,,
340001,4,,,Jiefeng\Jiefeng_lunchuan.png,
340002,1,,艾尔贝塔临海而建，得天独厚的地理优势使它成为了各国与卢恩王国通商贸易的重要港口城市，商人工会也因此坐落在这里。轻松愉悦的气氛和美丽的海滨风貌吸引了世界各地的冒险者，在艾尔贝塔多走走、看看，说不定会遇到很多奇妙的人和事。,,
350001,4,,,Jiefeng\Jiefeng_zhonglou.png,
350002,1,,艾尔帕兰城市的中央有一座高大的钟塔，这座参天巨塔传说是当年为了打通去往天堂彩虹桥的通路而建，其超前精美的科技工艺和耗费的人力物力之大，令人咋舌。\r\n当地人都说钟塔里充斥着各种凶恶魔物，可钟塔里依然不为人知的秘密和通往神国的传说依然吸引着整个大陆上的冒险者前来探索。,,
350101,4,,,Jiefeng\Jiefeng_aierpalan.png,
350102,1,,艾尔帕兰素来以“运河之都”的美誉闻名天下。生活在此处的居民们建造了许多风车来抽取地下水，形成了一条穿城而过的人工运河，运河的动能也加速了艾尔帕兰炼金术的发展。挑选一个阳光明媚的午后坐在河边来上一杯，欣赏河水静静地流淌，艾尔帕兰的生活就是如此惬意。,,
370001,4,,,Jiefeng\Jiefeng_guchengchengbao.png,
370002,1,,卢恩王国的暴君施密特王执政期间，为了炫耀国力，搜刮民脂民膏建造了一座巨大的城市克雷斯特汉姆，又称“巨人之城”，并迁都于此。古城覆灭后，这座恢弘的城堡早已成为一栋废墟，只有墙壁上精美的浮雕、室内残存的精美陈设依然沉默地讲述着当年古城盛极一时的繁华。,,
