ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
ID,类型,内容对应ID,文本,文本预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
400001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_12.png,
400002,1,,卢恩骑士团是卢恩王国皇室的权力执行机关，它是执法力量和军队的结合体，在卢恩初建国时期创立。骑士团中中设有六大骑士，分别是忠实骑士、名誉骑士、武艺骑士、礼仪骑士、虔诚骑士、谦让骑士。\r\n\r\n代表人物：古娜、赛依连\r\n重要事迹：处理卢恩地底集市起火事件,,
400101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_11.png,
400102,1,,刺客露克希在执行任务的过程中，意外卷入了白面具事件。\r\n本以为是一件无伤大雅的小事，但随后发生于卢恩王国普隆德拉地底集市的火灾，使露克希命丧当场。\r\n种种迹象揭示，露克希的死，是隐藏在偶然之下的必然。,,
400201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
400202,1,,记载着从创世神话到七圣贤斩杀世界之蛇耶梦加得建立卢恩王国，以及卢恩王国历史上重大事件的书籍。卢恩境内有一首非常盛行的、名为“建国神话”的歌谣，歌词即出自《卢恩史诗》建国神话章节。\r\n\r\n创造者：卡罗莫夫\r\n作用：记载卢恩王国重大历史事件,,
400301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_12.png,
400302,1,,世界之蛇耶梦加得入侵米德加兹大陆，造成毁灭性打击，七位勇者披荆斩棘，最终将大蛇斩杀，建立了卢恩王国，这七位勇者被后人称作七圣贤。而后，卢恩王国的下一任国王由七个家族选举产生。\r\n\r\n七大家族：海涅、雷本布鲁格、涅利乌斯、巴特、魏格纳、里哈尔特、凯渥宝乐格\r\n重要事迹：斩杀世界之蛇耶梦加得、建立卢恩王国,,
400401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_11.png,
400402,1,,在阿卢纳贝兹教国，只有承诺终身侍奉芙蕾雅女神的信徒，才有资格获得白面具。\r\n\r\n创造者：教国\r\n作用：教国芙蕾雅信徒相互识别的道具,,
400501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
400502,1,,《卢恩史诗》中记载，耶梦加得曾于远古文明末期侵入米德加兹大陆。七名勇士身先士卒，带领民众斩杀了耶梦加得。但是，耶梦加得临死前许下一个诅咒：最终杀死它的人类，将永远活在失去长子的痛苦中。\r\n而这位英雄正是特里斯坦一世。因此，特里斯坦一世决定将卢恩的继承制度改为选举制，即从七个王室之中选出得票最高的王子，加冕为卢恩新的国王。\r\n自此，卢恩-米德加兹王国正式成立。而那一年被史官认定为元年，记为A.W001年。,,
400601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_12.png,
400602,1,,特里斯坦家族倾尽全国之力，依然无法消除耶梦加得的诅咒。\r\n这一年，特里斯坦三世的长子因耶梦加得的诅咒而早夭，二王子似乎也因诅咒丧命。之后，三王子的手臂上也出现了蛇纹。忧心忡忡的国王试遍了无数方法，依然无法将诅咒拔除。\r\n当年，身为皇室驱魔师的宝妮，因不忍三王子日益虚弱，自告奋勇地进行驱魔，结果导致三王子当场死亡。盛怒的国王驱逐了宝妮，教廷也因此丢失了王室的信任。,,
400701,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_11.png,
400702,1,,能将灵魂碎片上的记忆具象化的重要道具，稀少而珍贵。这种水晶结构特殊，需要大量的能量，才能使其生效。\r\n\r\n创造者：未知\r\n作用：具象化灵魂碎片，展示灵魂碎片上残留的记忆,,
400801,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
400802,1,,从人的思想中抽离出来的思念体，凝聚在水晶上形成的魔法物品，记录着所有者的部分记忆。然而大部分人因为担心隐私外泄，对记忆水晶非常排斥。\r\n\r\n创造者：未知\r\n作用：记录记忆景象，常用以传递信息,,
400901,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
400902,1,,根据史书记载，在挖掘由佩雷斯遗迹的时候，遗迹内出现了一块从未见过的猩红色晶体——这就是珍贵的伊米尔之心碎片。但未经激活的碎片空有巨大的力量，并不能为人所用。巴雷蒙德经历了长时间的钻研，终于成功从一本笔记中找到了蛛丝马迹。他利用笔记上记载的技术，成功点亮了伊米尔之心，引起了学术界的轩然大波。,,
401001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
401002,1,,白骑士团是曾由卢恩王国哈因理西带领的、驻守在克雷斯特汉姆的骑士团。\r\nA.W800年，堕落女武神希莫梅斯为了搜集伊米尔之心碎片入侵克雷斯特汉姆，因哈因理西拒绝交出伊米尔之心碎片，白骑士团也惨遭覆灭。\r\n\r\n代表人物：哈因理西\r\n重要事迹：因拒绝将伊米尔之心碎片交给堕落女武神希莫梅斯而覆灭,,
401101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
401102,1,,由佩雷斯彼女，亦称“神之造物露希尔”。无数文献记载，由佩雷斯彼女曾是印记刺客中的一员，成功阻止了梦罗克的第二次复活。\r\n在由佩雷斯遗迹进行考察调研时，巴雷蒙德发现了沉睡在遗迹中的由佩雷斯彼女，自此他开始沉迷于研究由佩雷斯彼女身上的魔法波长，希望能解开她身上的秘密。,,
420001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
420002,1,,米德加兹教廷是卢恩王国的司法机关，有着与神庭沟通的力量。在特里斯坦三世的三皇子死亡后，教廷的力量被大大削弱。\r\n\r\n代表人物：班波、宝妮\r\n重要事迹：主导特里斯坦三世三王子的驱魔仪式却意外造成三王子死亡,,
420101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
420102,1,,巴雷蒙德的助手卡斯特送来了一封神秘人的信件，上面提示宝妮曾经见过白女巫。于是，巴雷蒙德前去拜访宝妮，希望能获得更多线索。\r\n但是，在找到宝妮后不久，便有蒲公英团的刺客来暗杀宝妮。经过一场恶战，刺客被击退。通过这件事，宝妮认识到了自己无法再置身事外，为了更好地保护卡努，她决定不再逃避。,,
420201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_IS_10.png,
420202,1,,卢恩境内十分受欢迎的报纸，报道卢恩王国每日的各项重大新闻。最近为了取得更好的销量，编辑们在报纸上夹带了许多花边消息。\r\n很多人对这种行为发出了批评，但不可否认的事实是，报纸的销量的确提高了。\r\n\r\n创造者：未知\r\n作用：报道卢恩新闻,,
