ID,Type,Args,Target,Count,LocalizationArea,
ID,类型,额外参数,目标,次数,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),
1,1,0,1004110,1,,第1章解锁
2,1,0,1004280,1,,第2章解锁
3,1,0,1004480,1,,第3章解锁
4,1,0,1004520,1,,第4章解锁
5,1,0,1004690,1,,第5章解锁
6,1,0,1004900,1,,第6章解锁
7,1,0,1005100,1,,第7章解锁
8,1,0,1005330,1,,第8章解锁
9,1,0,1005510,1,,第9章解锁
10,1,0,1005690,1,,第10章解锁
11,1,0,1005880,1,,第11章解锁
12,1,0,1006090,1,,第12章解锁
13,1,0,1006280,1,,第13章解锁
14,1,0,1006500,1,,第14章解锁
15,1,0,1006700,1,,第15章解锁
16,1,0,1006900,1,,第16章解锁
17,1,0,1007080,1,9,第17章解锁
18,1,0,1007310,1,9,第18章解锁
19,1,0,1007470,1,9,第19章解锁
20,1,0,1007670,1,9,第20章解锁
21,1,0,1007890,1,9,第21章解锁
22,1,0,1008490,1,9,第22章解锁
23,1,0,1008680,1,9,第23章解锁
1001,1,0,12003060,1,,冒险-人鱼的诅咒（52级 ）
1002,1,0,12003460,1,,冒险-沙漠蔷薇（59）
1003,1,0,12004090,1,,冒险-沉睡的宝藏（68）
1004,1,0,12004490,1,9,冒险-古城旅行团（80级）
1005,1,0,2000530,1,,支线-玛莎日记（43）
1006,1,0,2000570,1,,支线-追踪z团（46）
1007,1,0,2000130,1,,支线-英魂的列传（48）
1008,1,0,2000850,1,,支线-光与暗的终点（63）
1009,1,0,19010140,1,9,活动-花与歌（25）
1010,1,0,12001450,1,,奇遇-巫女的爱情
10001,2,41|72.04|12.13|78.88|10,,1,,普隆德拉-大教堂
10002,2,7|93.44|10.80|102.86|20,,1,,普隆德拉-中央喷泉
10003,2,57|60.00|14.83|80.11|10,,1,,普隆德拉-贤者之间
10004,2,16|99.45|17.43|58.71|10,,1,,吉芬-吉芬塔
10005,2,61|54.74|10.94|44.11|10,,1,,伊斯鲁德-挑战场
10006,2,51|38.07|21.78|28.55|10,,1,,梦罗克-黑店
10007,2,26|114.52|9.28|90.06|10,,1,,梦罗克皇宫外景
10008,2,47|154.81|23.86|188.84|10,,1,,斐扬樱花树
10009,2,50|167.51|17.23|138.07|10,,1,,艾尔贝塔-轮船
10010,2,85|193.83|58.64|141.56|10,,1,,艾尔帕兰-钟楼
10011,2,85|236.55|58.37|307.57|10,,1,,艾尔帕兰-运河
10012,2,55|196.24|22.64|220.51|10,,1,,古城城堡
