ID,Comment,Type,SubType,Title,Content,UnlockCondition,Bonus,PreviewPath,LocalizationArea
ID,策划备注,类型,子类型,标题,包含内容,解锁条件,积分,预览图片路径,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
4000,,3,2,卢恩骑士团,400001=400002,1,10,,
4001,,3,3,地底集市起火,400101=400102,1,10,,
4002,,3,4,《卢恩史诗》,400201=400202,4,10,,
4003,,3,2,七圣贤,400301=400302,4,10,,
4004,,3,2,白面具,400401=400402,1,10,,
4005,,3,3,卢恩·米德加兹建国,400501=400502,4,10,,
4006,,3,3,特里斯坦家族的诅咒,400601=400602,4,10,,
4007,,3,4,聚能水晶,400701=400702,2,10,,
4008,,3,4,记忆水晶,400801=400802,6,10,,
4009,,3,3,伊米尔之心被点亮,400901=400902,6,10,,
4010,,3,2,白骑士团,401001=401002,14,10,,
4011,,3,3,由佩雷斯彼女被发现,401101=401102,14,10,,
4200,,3,2,米德加兹教廷,420001=420002,3,10,,
4201,,3,3,蒲公英团暗杀宝妮,420101=420102,7,10,,
4202,,3,4,卢恩日报,420201=420202,9,10,,
4500,,3,3,白女巫逃离米德加兹,450001=450002,18,10,,
4600,,3,2,凯渥宝乐格家族,460001=460002,5,10,,
4601,,3,3,白面具的踪迹,460101=460102,5,10,,
4602,,3,2,刺客工会,460201=460202,5,10,,
4603,,3,4,蛇舌草,460301=460302,5,10,,
4300,,3,4,光粒结晶,430001=430002,8,10,,
4301,,3,3,拉乐西斯之死,430101=430102,8,10,,
4302,,3,3,特里斯坦三世失踪,430201=430202,8,10,,
4303,,3,4,《死海古卷》,430301=430302,10,10,,
4304,,3,3,梦罗克盐化事件,430401=430402,10,10,,
4305,,3,4,圣光卷轴,430501=430502,11,10,,
4306,,3,3,巴雷蒙德的异变,430601=430602,11,10,,
4307,,3,4,《启示录》,430701=430702,11,10,,
4308,,3,2,教国鹰派,430801=430802,12,10,,
4309,,3,2,蒲公英团,430901=430902,12,10,,
4310,,3,3,梦罗克儿童失踪,431001=431002,12,10,,
4311,,3,2,教国鸽派,431101=431102,13,10,,
4312,,3,3,蒲公英团的背叛,431201=431202,13,10,,
4313,,3,3,梦罗克第一次复活,431301=431302,15,10,,
4314,,3,4,《所罗门之书》,431401=431402,15,10,,
4315,,3,2,印记刺客,431501=431502,16,10,,
4316,,3,3,梦罗克第二次复活,431601=431602,17,10,,
4317,,3,3,梦罗克第三次复活,431701=431702,17,10,,
4700,,3,3,瓦尔基里降临事件,470001=470002,19,10,,
4701,,3,3,古城湮灭,470101=470102,20,10,,
4702,,3,3,古城政变,470201=470202,20,10,,
4703,,3,4,天使之卵,470301=470302,19,10,,
4704,,3,4,圣饼,470401=470402,21,10,,
4705,,3,2,古城教会,470501=470502,21,10,,
4706,,3,4,符文王冠,470601=470602,20,10,,
4400,,3,3,石化病事件,440001=440002,22,10,,
4401,,3,3,贝鲁兹文明,440101=440102,22,10,,
4402,,3,2,奇迹教会,440201=440202,23,10,,
