ColorationID,,ItemAtlas,ItemIcon,Model
染色ID,,道具图集,道具图标,染色prefab名称
1078001,诗嘉古尔的庇佑头饰,Icon_Wear_Head_01,UI_icon_item_wajifatounan1.png,Helmet_FaXiTianKongTao01_01
1088001,诗嘉古尔的庇佑脸饰,Icon_Wear_Other_01,UI_icon_item_wajifalian1.png,Adornment_FaXiTianKongTao01_01
1098001,诗嘉古尔的庇佑嘴饰,Icon_Wear_Other_01,UI_icon_item_wajizuifa1.png,Mouth_FaXiTianKongTao01_01
1108001,诗嘉古尔的庇佑背饰,Icon_Wear_Other_01,UI_icon_item_wajifachibang1.png,Back_M_FaXiTianKongTao01_01
1078003,诗嘉古尔的庇佑头饰,Icon_Wear_Head_01,UI_icon_item_wajifatounv1.png,Helmet_FaXiTianKongTao03_01
1088003,诗嘉古尔的庇佑脸饰,Icon_Wear_Other_01,UI_icon_item_wajifaliannv1.png,Adornment_FaXiTianKongTao03_01
1098003,诗嘉古尔的庇佑嘴饰,Icon_Wear_Other_01,UI_icon_item_wajizuifa1.png,Mouth_FaXiTianKongTao01_01
1108003,诗嘉古尔的庇佑背饰,Icon_Wear_Other_01,UI_icon_item_wajifachibang1.png,Back_F_FaXiTianKongTao01_01
1018001,诗嘉古尔的庇佑时装,Garderobe,UI_icon_item_wajifananshizhuang1.png,Fashion_M_FaXiTianKongTao01_Body
1018002,诗嘉古尔的庇佑时装,Garderobe,UI_icon_item_wajifanvshizhuang1.png,Fashion_F_FaXiTianKongTao01_Body
1078002,亚尔薇特的祝福头饰,Icon_Wear_Head_01,UI_icon_item_wajitounan1.png,Helmet_WuLiTianKongTao01_01
1088002,亚尔薇特的祝福脸饰,Icon_Wear_Other_01,UI_icon_item_wajilian1.png,Adornment_WuLiTianKongTao01_01
1098002,亚尔薇特的祝福嘴饰,Icon_Wear_Other_01,UI_icon_item_wajizui1.png,Mouth_WuLiTianKongTao01_01
1108002,亚尔薇特的祝福背饰,Icon_Wear_Other_01,UI_icon_item_wajichibang1.png,Back_M_WuLiTianKongTao01_01
1078004,亚尔薇特的祝福头饰,Icon_Wear_Head_01,UI_icon_item_wajitounv1.png,Helmet_WuLiTianKongTao03_01
1088004,亚尔薇特的祝福脸饰,Icon_Wear_Other_01,UI_icon_item_wajiliannv1.png,Adornment_WuLiTianKongTao03_01
1098004,亚尔薇特的祝福嘴饰,Icon_Wear_Other_01,UI_icon_item_wajizui1.png,Mouth_WuLiTianKongTao01_01
1108004,亚尔薇特的祝福背饰,Icon_Wear_Other_01,UI_icon_item_wajichibang1.png,Back_F_WuLiTianKongTao01_01
1018003,亚尔薇特的祝福时装,Garderobe,UI_icon_item_wajinanshizhuang1.png,Fashion_M_WuLiTianKongTao01_Body
1018004,亚尔薇特的祝福时装,Garderobe,UI_icon_item_wajinvshizhuang1.png,Fashion_F_WuLiTianKongTao01_Body
