MapId,Name,CampNum,CampMember,TeamMemberLimit,JobLimit,TimeRemoveJobLimit,LevelRange,ExpandLvRange,LvExpandInterval,LvExpandTimes,ExpandScoreRange,ScExpandInterval,ScExpandTimes,TimeOutLimit,ConfirmTimeOut,TimeOutBan
副本id,副本名，程序不读,副本中的阵营数量,同阵营成员数量上限(*阵营数量=玩法人数上限),单个队伍成员上限,"限定职业组成(0任意职业,1坦克,2奶,3输出,不限不填,JOBid=MINnum)",放开职业限制时间,匹配等级范围差,每次扩张等级范围,等级范围扩张时间,等级范围扩张次数上限,每次扩张积分,积分范围扩张时间,积分范围扩张次数上限,超时时间限制(-1表示不限制),确认超时时间,确认超时惩罚时间
3,圣歌试炼,1,5,5,,-1,10,5,10,3,0,0,0,-1,20,0
933,极限挑战-哥布林3,1,2,1,1=1|2=1,-1,10,5,10,3,0,0,0,30,30,0
970,极限挑战-德古拉3,1,2,1,1=1|2=1,-1,10,5,10,3,0,0,0,310,60,0
971,极限挑战-法老王3,1,5,5,1=1|2=1,-1,10,5,10,3,0,0,0,-1,60,0
2169,单人天地树-难度1,1,1,1,,-1,10,5,10,3,0,0,0,-1,60,0
7500,迷雾之森,1,5,5,,-1,10,5,10,3,0,0,0,-1,60,0
4000,普隆德拉下水道,1,1,1,,-1,10,5,10,3,0,0,0,-1,60,0
6001,战场：峡谷 等级50,2,2,5,,-1,10,5,10,5,5,5,5,-1,60,0
9000,时空模拟战5V5,2,5,5,2=1,120,10,5,10,3,200,5,5,-1,30,0
