MedalId,Name,Dec,MaxLv,BaseMaxLv,SociatyMaxLv,Object,Atlas,Spt,,,,
勋章id,勋章名称,描述,最大等级,玩家Base等级对应的上限,公会等级对应的上限,作用对象（0代表玩家，1代表宠物）,图集,图片资源,,,,
1,力之纹章,绵绵岛金质勋章，授予英勇威猛的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,0,Medal,UI_Medal_Yongmeng.png,,,,
2,护之纹章,绵绵岛金质勋章，信仰奥丁的卢恩王国授予的无上光荣,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,0,Medal,UI_Medal_Yingling.png,,,,
3,御之纹章,绵绵岛金质勋章，传闻只有最聪明的冒险者才可佩戴,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,0,Medal,UI_Medal_Zhihui.png,,,,
4,防之纹章,绵绵岛金质勋章，承载者喵喵族对冒险者满满的祝福,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,0,Medal,UI_Medal_Renci.png,,,,
5,命之纹章,绵绵岛金质勋章，授予乐施行善的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,0,Medal,UI_Medal_Fengxian.png,,,,
6,祝之纹章,绵绵岛金质勋章，传闻佩戴后美的像一件艺术雕塑品,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,0,Medal,UI_Medal_Meili.png,,,,
7,战力纹章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,1,Medal,UI_Medal_Jifeng.png,,,,
8,护甲纹章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,1,Medal,UI_Medal_Jifeng.png,,,,
9,魔抗纹章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,1,Medal,UI_Medal_Jifeng.png,,,,
10,防御纹章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,1,Medal,UI_Medal_Jifeng.png,,,,
11,体质纹章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,1,Medal,UI_Medal_Jifeng.png,,,,
12,幸运纹章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1=3|2=10|3=15|4=25,1,Medal,UI_Medal_Jifeng.png,,,,
