OrnamentID,OrnamentName,OrnamentType,SortID,OrnamentFrame,Coloration,UsedForPreview,ItemQuality,ResolveAmount,ExpendZeny,ItemGrade,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone,IsShare,IsHide,LocalizationArea,
配饰ID,配饰名称,类型（1头部 2脸部 3嘴部 4背部 5尾巴）,排序,边框,染色,是否在创角时显示,道具品质(1C 1B 3A 4S 0无品质不显示)策划用，先和item表的更新为一致的！！,分解后获得对应材料的数量(获得物品ID=下限=上限）,分解头饰所需要花费的zeny币数量,道具级别（1普通 2稀有 3限定）,简约-100<=>华丽100,活泼-100<=>成熟100,邪气-100<=>正义100,清凉-100<=>保暖100,亮色-100<=>暗色100,是否支持分享（0不支持1支持）,是否在衣橱隐藏（0显示 1隐藏）默认值为0,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,（策划用不需要翻译）备注：未配置属性|无图标|未优化|未配置时尚评分和通用发型
1070119,魔物图鉴头饰1阶,1,1001,0,,1,1,2034003=1=3,10000,1,50,-50,-50,50,-50,1,,,
1070016,波利帽,1,1002,0,,1,1,2034003=1=3,10000,1,-42,-60,20,60,-40,1,,,
1070031,蛋壳帽,1,1003,0,,1,1,2034003=1=3,10000,1,-70,-66,-20,40,-20,1,,,
1070051,触角头饰,1,1004,0,,1,1,2034003=1=3,10000,1,-62,-66,-20,-40,-25,1,,,
1070013,红蝶发带,1,1005,0,,1,1,2034003=1=3,10000,1,34,-64,40,-40,-40,1,,,
1070017,头箍,1,1006,0,,1,1,2034003=1=3,10000,1,-64,30,20,-60,-40,1,,,
1070026,紫蝶发带,1,1007,0,,1,1,2034003=1=3,10000,1,-52,58,28,-50,20,1,,,
1080015,小丑鼻子,2,1008,0,,1,1,2034003=1=3,10000,1,-50,-66,-52,-46,-20,0,,,
1080016,OK绷,2,1009,0,,1,1,2034003=1=3,10000,1,-72,-50,-62,20,-20,0,,,
1090005,胡须,3,1010,0,,1,1,2034003=1=3,10000,1,-62,-40,40,56,-20,0,,,
1090006,口罩,3,1011,0,,1,1,2034003=1=3,10000,1,-64,46,20,72,-20,0,,,
1070060,火线头饰,1,1012,0,,1,1,2034003=1=3,10000,1,-60,-40,-30,45,-37,1,,,
1070143,耳机,1,1013,0,,1,1,2034003=1=3,10000,1,-80,-70,-40,40,-20,1,,,
1070073,变身树叶,1,1014,0,,1,1,2034003=1=3,10000,1,-40,-20,50,-60,-50,1,,,
1070074,草帽,1,1015,0,,1,1,2034003=1=3,10000,1,-60,40,20,-20,-80,1,,,
1070120,魔物图鉴头饰2阶,1,2001,0,,1,2,2034003=1=3,10000,1,60,-60,-60,50,-60,1,,,
1070054,兽角头饰,1,2002,0,,1,2,2034003=1=3,10000,1,-89,58,-70,-58,-34,1,,,
1080020,白色眼罩,2,2003,0,,1,2,2034003=1=3,10000,1,-40,40,50,-50,-50,0,,,
