ID,PetStatId,AttrId,StatRange
主键ID,档次库id,属性id,分段信息（资质分段id=资质下限百分比=资质上限百分比|资质分段id=资质下限百分比=资质上限百分比|…)
1,1,373,1=0=20|2=20=40|3=40=60|4=60=80|5=80=100
2,1,374,1=0=20|2=20=40|3=40=60|4=60=80|5=80=100
3,1,375,1=0=20|2=20=40|3=40=60|4=60=80|5=80=100
4,1,376,1=0=20|2=20=40|3=40=60|4=60=80|5=80=100
5,1,377,1=0=20|2=20=40|3=40=60|4=60=80|5=80=100
6,1,378,1=0=20|2=20=40|3=40=60|4=60=80|5=80=100
7,2,373,1=0=30|2=30=50|3=50=70|4=70=85|5=85=100
8,2,374,1=0=30|2=30=50|3=50=70|4=70=85|5=85=100
9,2,375,1=0=30|2=30=50|3=50=70|4=70=85|5=85=100
10,2,376,1=0=30|2=30=50|3=50=70|4=70=85|5=85=100
11,2,377,1=0=30|2=30=50|3=50=70|4=70=85|5=85=100
12,2,378,1=0=30|2=30=50|3=50=70|4=70=85|5=85=100
