ID,,MgrName,CheckMethodName,OpenSystemID,LevelCheck,TimeCheck,CheckMethodType
检测方法ID,注释,检测方法所在Mgr,检测方法名,检测功能限制\r\n对应功能ID\r\n解锁后才检测,A=B=C\r\n从A级开始到最高C级\r\n每隔B级检测一次，其它时间检测无效,A=B=C\r\n从一天的第A分钟开始，到一天的第C分钟结束\r\n每隔B秒检测一次\r\n可有多个时间段,其它红点检测触发器\r\n1. 持续监测\r\n2. 收到ItemChange协议的时候检测\r\n3. 道具或钱改变时检测\r\n4. 等级变化的时候检测\r\n5. 转职时检测
1,角色-推荐加点,RoleInfoMgr,CheckRedSignMethod,,8=3=60|60=1=101,,
6,队伍申请列表,TeamMgr,CheckRedSignMethod,,,,
7,冒险-限时活动提示,DailyTaskMgr,CheckRedSignMethod,109,,,1
10,技能-常态提示,SkillLearningMgr,CheckShowPoint,102,,,
11,技能-配置提示,SkillLearningMgr,CheckSetting,102,,,
18,衣橱,GarderobeMgr,CheckRedSignMethod,106,,,
24,七日登陆奖励,LandingAwardMgr,CheckRedSignMethod,11201,,,
27,活动,FightEventMgr,CheckExpelMonsterRedPoint,5110,35=1=101,,
31,公会福利-按钮,GuildWelfareMgr,CheckWelfareRedSignMethod,,,,
36,30日签到,SignInMgr,CheckWelfareRedSignMethod,11202,,,
38,成就奖励领取提示,AchievementMgr,CheckRedSignMethod,113,,,
40,委托,DelegateModuleMgr,CheckRedSignMethod,117,,,
45,等级礼包,LevelRewardMgr,CheckRedSignMethod,11203,,,
46,喵喵丰收限时返利,TimeLimitPayMgr,CheckRedSignMethod,10816,,,
47,Job升级获取属性,SkillLearningMgr,CheckJobAward,102,,,
48,手册界面中的冒险日记,AdventureDiaryMgr,CheckRedSignMethod,116,,,
53,多装备天赋开启时背包按钮显示红点,MultiTalentEquipMgr,CheckBagRedSign,147,,,4
54,多天赋技能开启的时候显示红点,SkillLearningMgr,CheckSkillMultiTalentRedSignMethod,145,,,4
56,委托奖励,DelegateModuleMgr,CheckRedSignRewardMethod,117,,,
59,佣兵升级红点,MercenaryMgr,CheckLevelUpMethod,122,,,
61,佣兵装备升级红点,MercenaryMgr,CheckEquipLevelUpMethod,122,,,
62,主界面佣兵检测,MercenaryMgr,MercenaryCheck,122,,,4
63,佣兵天赋红点,MercenaryMgr,CheckTalentMethod,122,,,
69,波利类型检测,BoliGroupMgr,CheckRedSignPollyType,11403,,,
71,单只波利可领奖检测,BoliGroupMgr,CheckRedSignSinglePollyAward,11403,,,
72,区域宝箱可领奖检测,BoliGroupMgr,CheckRedSignRegionAward,11403,,,
80,月卡,MonthCardMgr,CheckRedSignMethod,11204,,,1
85,获得全自动守护设备后的红点,BagMgr,CheckRedSignMethod,,,,2
86,公会华丽水晶-前往,GuildCrystalMgr,CheckOneLvRedSignMethod,7008,,,
87,公会组织手册,GuildMgr,CheckGuildBookRedSignMethod,7008,,,
1000,永远为True的检测方法,RedSignMgr,AlwaysReturnTrue,,,,
1001,永远为False的检测方法，可用作服务器检测标记,RedSignMgr,AlwaysReturnFalse,,,,
145,技能天赋页,RedSignMgr,AlwaysReturnTrue,145,,,
146,玩家加点页,RedSignMgr,AlwaysReturnTrue,146,,,
147,装备页,RedSignMgr,AlwaysReturnTrue,147,,,
200,绵绵岛限时签到,ActivityCheckInMgr,IsRedPointShow,8001,,0=30=1440,
93,贝鲁兹开启,BeiluzCoreMgr,CheckRedSign,10821,,,
201,BINGO礼包可领,BingoMgr,CheckRedSign,12010,,,
202,新王号角奖励可领取,ActivityNewKingMgr,CheckRedSign,13000,,,
260,累充,TotalRechargeAwardMgr,IsRedPointShow,11807,,,
261,限时累充,TotalRechargeAwardMgr,IsSeasonRedPointShow,11809,,,
94,无尽塔首通奖励,InfiniteTowerDungeonMgr,CheckRewardTake,5034,,,
95,公会拍卖,GuildDepositoryMgr,CheckInSale,,,,
96,首充礼包可领取,GiftPackageMgr,CheckFirstRedSign,11208,,,
98,免费喵果礼包可领取,,,11209,,,
19,时尚度道具奖励,GarderobeMgr,CheckRedSignMethod_FashionAward,10601,,,
49,魔物图鉴奖励,IllustrationMonsterMgr,CheckHandBookRedsign,11405,,,
111,回归活动,ReBackMgr,ReturnCheckRedSign,11213,,,
112,回归累登,ReBackLoginMgr,RedSignCheckMethod,11214,,,
12,一转,SkillLearningMgr,RedSignForPro1,,,,
13,二转,SkillLearningMgr,RedSignForPro2,,,,
114,喵喵丰收限时返利,TimeLimitPayMgr,CheckRedSignMethod,10816,,,
92,元气（生活职业开启时触发）,,,6000,,,
115,首充礼包常驻特效显示,GiftPackageMgr,CheckShowEffectFirstRedSign,11208,,,
300,萌新奖励入口,NewPlayerMgr,CheckRedSignMethod,11311,,,
301,意见反馈,CapraFAQMgr,CheckAwardGetStatus,11333,,,
116,折扣礼包,MallMgr,CheckRedSignMethodGoldGift,11802,,,
117,神秘商店,MallMgr,CheckRedSignMethodMystery,11805,,,
118,限时商店,MallMgr,CheckRedSignMethodTimeLimit,11812,,,
120,战场玩法说明特效,BattleMgr,CheckRedSign,15005,,,
210,松饼拼盘奖励,MidAutumnMgr,CheckCollectRedSign,14010,,,
211,松饼签到奖励,MidAutumnMgr,CheckLoginRedSign,14010,,,
223,金秋祈愿免费抽取,MidAutumnDrawMgr,CheckRedSign,14020,,,
999,载具特色度道具奖励,VehicleInfoMgr,CheckRedSignMethod_VehicleAward,90007,,,
224,直购礼包免费奖励,RechargePackageMgr,CheckRedSign,1880,,,
228,单个直购礼包免费奖励,RechargePackageMgr,CheckRedSignOne,1880,,,
213,15日签到ep2,FifteenDaysSignMgr,CheckRedSign,14030,,,
381,回归招募招募奖励领取（废弃）,ReturnRecruitMgr,CheckTaskRedSign,12004,,,
382,回归招募活跃奖励领取（废弃）,ReturnRecruitMgr,CheckActiveRedSign,12004,,,
383,回归招募见面礼领取,ReturnRecruitMgr,CheckMeetingGiftRedSign,12004,,,
1101,通行证红点,PassCheckMgr,CheckRedSignMethod,15000,,,
1103,通行证每日任务,PassCheckTaskMgr,RedSignDaily,15000,,,
1104,通行证赛季任务,PassCheckTaskMgr,RedSignSeason,15000,,,
1105,通行证特别任务,PassCheckTaskMgr,RedSignSpecial,15000,,,
227,经验加成红点,SakuraTrustMgr,EnTrustRedSignCheck,,,,
400,手册-剧情图鉴-解锁奖励,IllustrationStoryMgr,HasAvailableAward,77777,,,
390,附魔行动,EnchantActivityMgr,CheckRedSign,16100,,,
