ID,CheckID,CloseCheck,LoseCheck,ChildrenID,,RedSignKey,ShowType,EffectPath,OffSet,Size,,,Type
红点ID\n（1个红点对应1个ID）,检测方法ID,检测方法或红点（1为检测方法2为红点）ID\r\n其中一个为true直接无视其它条件关闭红点，不会影响其父亲，完全独立,当红点所在按钮点击后，使得对应检测方法或者子红点判定永久失效\r\nA=B=C：A=1表示当前失效、为2表示永久失效，为3表示当天失效；B=1表示检测方法，B=2表示子红点，B=3表示所有检测方法和子红点；C为对应的ID，当B=3时无视C,子红点ID,模块名称\n(策划用),红点的key\n注：程序配置,红点显示类型\n(0空白红点1普通图片2数字红点3单图片程序做的特效4美术做的特效)注：支持配多个，用|隔开；,特效路径，ShowType是4的时候才需要配\r\n注：支持配多个，用|隔开；,红点偏移量（格式：锚点类型=x轴偏移 =y轴偏移）\r\n锚点类型：1左上，2正上，3右上，4左，5正中，6右，7左下，8正下，9右下\r\n注：支持配多个，用|隔开；,红点资源大小\n(格式：长=宽)\n注：支持配多个，用|隔开；,显示规则(策划用),隐藏规则(策划用),是否服务器检测
1,1,,,,角色-推荐加点,StatusPoint,1,,5=55=15,16=16,当前素质点>=玩家数值最大的属性提升所需的素质点；,当前素质点<玩家数值最大的属性提升所需的素质点；,
2,,,,,好友-聊天信息,Friend,1,,5=15=45,16=16,有未读的好友消息；,所有好友信息均已读；,1
3,,,1=3=0,,好友-邮件,Email,1,,3=43.4=-31.9,16=16,有未读或未领取的邮件；,所有邮件均已读或已领取；,1
4,,,1=3=0,,交易-摆摊,Stall,1,,5=20=20,16=16,有可提现的道具；,无可提现的道具；,1
5,,,,,背包-获得可使用礼包,BagGetGift,1,,5=50=50,16=16,1、获得新道具；\n2、道具ID在ItemFunction表中存在，且列【ItemFunction】值为5；\n注：背包按钮主界面不显示小红点，仅在背包内物品右上角标识new。,1、玩家手动点击道具查看tips；\n2、玩家重新登录；,
6,6,,1=3=0,,队伍申请列表,TeamApply,1,,5=60=20,16=16,收到入队请求；,申请列表为空；,
7,7,,,,冒险-限时活动提示,DailyTask,0,,5=0=0,16=16,1、活动开始倒计时<n分钟(预开启)；\n2、活动已开始；,活动已结束,
9,,,1=3=0,,公会-申请列表,GuildApply,1,,3=-5=-5,16=16,申请列表不为空；,申请列表为空；,1
10,10,,,12|13,技能-常态提示,SkillLearningSkill,1,,3=-10.5=-10,16=16,剩余技能点>0；,剩余技能点<=0；,
11,11,,1=3=0,,技能-配置提示,SkillLearningSetting,1,,3=-10.5=-10,16=16,习得新技能,未习得新技能,
18,18,,1=3=0,19,衣橱,Garderobe,1,,5=16=16,16=16,获得新配饰；,1、玩家手动点击查看；\n2、玩家重新登录；,
20,,,1=3=0,236,主界面-生活按钮,LifeProfession,1,,3=-5=-5,16=16,完成任务解锁生活职业框架UI入口图标,玩家打开生活职业框架,
22,,2=3,,2|41,主界面好友按钮,FriendAndEmail,2,,3=-15=-10,16=16,,,
122,,,,3,主界面好友按钮,FriendAndEmailEx,3,,3=-15=-10,16=16,,,
255,,,,3,主界面好友按钮-邮件,FriendAndEmailEx,4,Effects/Prefabs/Creature/Ui/Fx_UI_DoubleContract_LingQuJiangLi,5=0=0,160=160,,,
23,,,,18|20|38|62,主界面缩放按钮,Switch,1,,5=16=16,16=16,,,
24,24,,,,七日登陆奖励,LandingAward,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_01,5= -11.8=1.8,330=330,有可领取的七日登陆奖励,,
25,54,,,10|47,主界面技能按钮,MainSkill,1,,5=20=20,16=16,,,
26,,,,7,活动,Activity,4,Effects/Prefabs/Creature/Ui/Fx_Ui_TiShi_01,5=0=0,153.28=143.8,,,
28,,,,6,组队缩放按钮,TeamAndTask,4,Effects/Prefabs/Creature/Ui/Fx_Ui_TiShi_01,5=0=0,53=55,,,
29,,,,6,组队页签,Team,4,Effects/Prefabs/Creature/Ui/Fx_Ui_DuiWuHuXiDeng_01,4=17=-8.97,75.3=191.17,,,
30,,,,,猫手商店,CatCaravan,1,,5=30=30,16=16,1、活动开始倒计时<n分钟(预开启)；\n2、活动已开始；,活动已结束,1
31,31,,,,公会福利-按钮,GuildWelfare,1,,3=-5=-5,16=16,1、活动开始倒计时<n分钟(预开启)；\n2、活动已开始；,活动已结束,
32,,,,31|86|95,公会福利-页签,GuildWelfareTog,1,,3=44=-40,16=16,1、活动开始倒计时<n分钟(预开启)；\n2、活动已开始；,活动已结束,
33,,,,89|1|92|14|15,主界面角色头像,MainRoleInfoStatusPoint,1,,5=30=30,16=16,,,
34,,,1=2=4,4,摆摊-我要出售,SweaterStall,1,,3=-10=-5,16=16,,,
35,,,1=2=4,4,交易-摆摊页签,StallHandler,1,,3=40=-30,16=16,,,
36,36,,,,30日签到,SignIn,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_01,5= -12.9=1.6,330=330,,,
37,,,,24|36|45|80|111|114|300|301,奖励（福利）,Welfare,1,,5=20=20,16=16,,,
38,38,,,,成就奖励领取提示,Achievement,1,,3=-5=-5,16=16,,,
39,69|71|72,,,48|65|49|50|501,手册-主界面按钮,BeginnerBook,1,,5=20=20,16=16,,,
40,40,,,,委托,Delegate,4,Effects/Prefabs/Creature/Ui/Fx_Ui_TiShi_01,5=-0.18=-3.03,153.28=143.8,有未完成委托活动时显示的特效,,
41,,,,,好友中的小助手,FriendHelper,1,,3=-9.9=-10,16=16,腾讯那边推送小助手小红点的时候提示,玩家点击了小助手,1
42,,,,2|41,好友+助手,FriendAndHelper,1,,5=69.8=31.3,16=16,有未读的好友消息；,所有好友信息均已读；,
43,,,1=3=0,,公会成员列表-公会红包,GuildRedEnvelope,1,,3=-5=-25,16=16,玩家发送红包时,1.玩家点击进入成员列表\n2.成员列表中的红包全部消失,1
44,,,,9|31|43|86|87|77|75|95|100|101,主界面公会按钮,Guild,1,,3=-5=-5,16=16,,,
45,45,,,,等级礼包,LevelReward,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_01,5= -12.1=88.3,330=330,,,
46,,,,114,喵喵丰收限时返利,TimeLimitPay,1,,5=30=80,16=16,,,
47,47,,,,Job升级获取属性,SkillLearningJobAward,1,,3=-10.5=-10,16=16,,,
48,48,,,,手册界面中的冒险日记,AdventureDiary,1,,3=-6=-37,20=20,,,
55,,,1=2=43,43|9,公会成员列表,GuildMember,1,,3=44=-40,16=16,玩家发送红包时,1.玩家点击进入成员列表\n2.成员列表中的红包全部消失,
56,56,,,,委托奖励,DelegateAward,1,,3=-58.7=-9.2,16=16,有委托奖励显示红点,,
57,,,,56|40,主界面委托红点,DelegateButtonEx,4,Effects/Prefabs/Creature/Ui/Fx_Ui_TiShi_01,5=-0.18=-3.03,153.28=143.8,,,
157,,,,56,主界面委托红点,DelegateButton,1,,3=-7.5=-10.6,16=16,,,
59,59,,,,佣兵升级红点,MercenaryLevelUp,1,,3=-11.8=-12.4,16=16,,,
60,,,,59,佣兵信息红点,MercenaryInformation,1,,3=-30=-15,16=16,,,
61,61,,,,佣兵装备升级红点,MercenaryEquipLevelUp,1,,3=-30=-15,16=16,,,
62,62,,,,主界面佣兵检测,Mercenary,1,,3=-5=-5,16=16,,,
63,63,,,,佣兵天赋红点,MercenaryTalent,1,,3=-30=-15,16=16,,,
65,,,,,贴纸红点检测,StickerCheck,1,,3=-30=-15,16=16,,,1
66,,,,65,贴纸页签,TitleTag,1,,3=-11=-12,16=16,,,
67,,,,65,查看贴纸按钮,StickerButton,1,,3=-9=-7,16=16,,,
68,,,,65,个性化图鉴,StickerButton,1,,3=-6=-37,16=16,,,
70,69,,,,我的笔记,PollyNote,1,,3=-40=-10,16=16,,,
73,71|72,,,,探索记录,PollyRecord,1,,3=-40=-10,16=16,,,
74,69|71|72,,,,波利研究手册,PollyManual,1,,3=-6=-37,16=16,,,
75,,,,,公会原石,GuildStone,2,,3=-5=-5,16=16,,,1
76,,,,75,公会原石,GuildStoneButton,1,,3=-5=-5,16=16,,,
77,,,,,公会原石触发,GuildStoneButton2,1,,3=-5=-5,16=16,,,1
80,80,,,,月卡,MonthCard,4,Effects/Prefabs/Creature/Ui/Fx_Ui_Welfare_TiShi_01,5= -11.2=26.9,330=330,,,
81,,,,80,月卡,MonthCardBtn,1,,5=30=80,16=16,,,
82,,,,80,月卡,MonthCardSmallGift,1,,3=-6=-15,16=16,,,
