ID,GoalID,DefaultNum,RewardVal,RewardId,ConsumeId,ConsumeVal,IsHighValue,RedPacketType
序号,不能重复，触发条件id，索CommonGoalsTable的id，满足id的触发条件，就会弹出对应id的礼包,默认红包份数,包含货币,玩家领取该红包得到的货币类型,玩家加倍使用的货币类型,玩家加倍该红包消耗的货币数量（单倍，如果乘6倍就是该字段的值乘以5）,是否是高价值红包（是填1，不是填0，这个字段影响红包外观）,红包种类（1=公会 2=世界）
1,801,5,10000,102,103,100,0,1
2,802,3,20000,102,103,200,0,1
3,803,2,30000,102,103,300,0,1
4,804,30,40000,102,103,400,1,1
5,805,40,50000,102,103,500,1,1
6,806,10,8000,102,103,80,0,1
7,807,15,12000,102,103,120,0,1
8,808,20,20000,102,103,200,1,1
9,809,15,5000,102,103,50,0,1
10,810,20,7500,102,103,75,0,1
11,811,25,10000,102,103,100,0,1
12,812,30,12500,102,103,125,0,1
13,813,35,15000,102,103,150,0,1
14,814,40,20000,102,103,200,0,1
15,815,15,10000,102,103,100,0,1
16,816,20,15000,102,103,150,0,1
17,817,20,10000,102,103,100,0,1
18,818,20,20000,102,103,200,0,1
19,819,30,15000,102,103,150,0,1
20,820,50,50000,102,103,500,1,1
21,821,20,15000,102,103,150,0,1
22,822,20,15000,102,103,150,0,1
23,823,20,10000,102,103,100,0,1
24,824,30,30000,102,103,300,1,1
