ID,ItemID,,ServerLevelLimit,Enable,DelaySellTime,ChooseNumberRange,MoneyType,BasePrice,PriceLimit,LocalizationArea
排序ID,道具ID,道具名称(策划自己看),服务器等级限制,是否有效(1有效0无效)\r\n注：无效道具前端所有地方均不显示，后端不允许上架,延迟出售时间范围，单位：分钟\r\n(主要是错开上架时间，防止点对点交易),随机选择的道具数量范围,货币种类,基础价格,价格限制范围,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,3040012,煤炭,0,1,180=600,2000=5000,101,1250,5000=15000,
2,3040005,火灵原石,0,1,180=600,2000=5000,101,8000,5000=15000,
3,3040006,水灵原石,0,1,180=600,2000=5000,101,8000,5000=15000,
4,3040007,土灵原石,0,1,180=600,2000=5000,101,8000,5000=15000,
5,3040008,风灵原石,0,1,180=600,2000=5000,101,8000,5000=15000,
6,2025007,速效修复药剂,0,1,180=600,2000=5000,101,1300,5000=15000,
7,2025008,强效修复药剂,0,1,180=600,2000=5000,101,5000,5000=15000,
8,1290004,空瓶,0,1,180=600,2000=5000,101,500,5000=15000,
9,1290014,杰勒比结晶,0,1,180=600,2000=5000,101,500,5000=15000,
10,1290015,三叶幸运草,0,1,180=600,2000=5000,101,500,5000=15000,
11,1290008,昆虫外壳,0,1,180=600,2000=5000,101,500,5000=15000,
12,1290018,粘稠液体,0,1,180=600,2000=5000,101,500,5000=15000,
13,1290011,坚硬外皮,0,1,180=600,2000=5000,101,500,5000=15000,
14,1290013,苹果汁,0,1,180=600,2000=5000,101,500,5000=15000,
15,1290017,动物外皮,0,1,180=600,2000=5000,101,500,5000=15000,
16,1290016,柔毛,0,1,180=600,2000=5000,101,500,5000=15000,
17,1290003,玛哪树枝,0,1,180=600,2000=5000,101,500,5000=15000,
18,1290007,加勒结晶,0,1,180=600,2000=5000,101,500,5000=15000,
19,1290010,死人遗骨,0,1,180=600,2000=5000,101,500,5000=15000,
20,1290009,雪勒结晶,0,1,180=600,2000=5000,101,500,5000=15000,
21,1290012,剎勒空结晶,0,1,180=600,2000=5000,101,500,5000=15000,
