ID,Name,Tab,MoneyType,IndexList,Atlas,Icon,ServerLevelLimit
类型ID(主分类ID从1开始递增，子分类ID用4位数方便筛选),前端显示的类型名,页签类型(填0表示为主分类，填大于0的值，表示当前分类为子分类，填的值是对应的主分类ID),货币类型,索引列表,图集名称,图标文件名,服务器等级限制
1,关注,0,101,,Common,UI_Common_BtnIcon_04.png,
2,关注,0,102,,Common,UI_Common_BtnIcon_04.png,
3,制造材料,0,101,3040012|3040005|3040006|3040007|3040008|2025007|2025008,Common,UI_Common_BtnIcon_04.png,0
4,材料,0,101,,Common,UI_Common_BtnIcon_02.png,0
4001,低级,3,101,1290004|1290014|1290015|1290008|1290018|1290011|1290013|1290017|1290016|1290003|1290007|1290010|1290009|1290012|1290054|1290001|1290005|1290069|1290070|1290083|1290084|1290085|1290095|1290096|1290097|1290101|1290102|1290103|1290115|1290116|1290117,Common,UI_Common_BtnIcon_02.png,0
4002,中级,3,101,1290042|1280004|1280007|1280011|1280002|1290002|1290006|1290043|1280008|1290053|1290058|1290062|1290057|1290059|1290061|1290056|1290060|1290063|1290064|1290065|1290066|1290067|1290068|1290079|1290080|1290081|1290082|1290092|1290093|1290094|1290098|1290099|1290100|1290112|1290113|1290114,Common,UI_Common_BtnIcon_02.png,0
4003,高级,3,101,1290036|1290041|3090006|3090001|1270008|1270007|1290037|1290039|1290029|1290031|1280010|1270003|1270009|3090004|1280006|3090008|1290030|3090002|1280005|1290035|1280001|1290071|1290072|1290077|1290078|1290090|1290091|1290104|1290110|1290111,Common,UI_Common_BtnIcon_02.png,0
4004,稀有,3,101,1290026|1270011|1290028|1270004|1290025|1270012|1290024|1290027|1290023|1290022|1290075|1290076|1290088|1290089|1290105|1290108|1290109,Common,UI_Common_BtnIcon_02.png,0
4005,珍贵,3,101,1270005|1280012|1290021|1290020|1290019|1290073|1290074|1290086|1290087|1290106|1290107,Common,UI_Common_BtnIcon_02.png,0
7,置换器,0,102,3046001|3046002|3046003|3046004|3046005|3046006|3046007|3046008,Common,UI_Common_Zhihuanqi.png,0
8,生活职业,0,102,,Common,UI_Common_BtnIcon_03.png,0
8002,药剂,8,102,3078011|3078014|3078017|3078020|3078023|3078026,Common,UI_Common_BtnIcon_03.png,0
8003,料理,8,102,3054001|3054101|3054201|3054301|3054401|3054501|3054601|3054701|3054801,Common,UI_Common_BtnIcon_03.png,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
