Id,PreId,TogetherPreId,Name,TaskDes,Type,Chapter,ChapterName,ServerLevel,AcceptLimitBaseLevel,AcceptLimitJobLevel,PushLevel,AcceptLimitProfession,AcceptLimitSex,AcceptLimitItem,AcceptLimitIdentity,FinishLimitIdentity,FinishLimitCD,AcceptNpc,FinishNpc,ItemAfterAccept,ItemBeforeFinish,AcceptAutoPath,Accepttype,Finishtype,ShortcutShowType,FindwayType,AbandonType,DestroyType,LimitTask,CycleNumber,TargetSubTasks,TargetSubTaskChoose,PhasePositionSceneTask,Target1,SpecialMes1,TargetDes1,Target2,SpecialMes2,TargetDes2,Target3,SpecialMes3,TargetDes3,Target4,SpecialMes4,TargetDes4,Target5,SpecialMes5,TargetDes5,TargetRunType,TaskTrigger,IsReminder,FinishTips,NpcFavors,RewardID,DescAcceptable,DescCanFinish,TalkScript,TaskAcceptScriptTag,TaskFinishScriptTag
任务ID（主线：1000000~1999999）,前置任务ID,并列前置限制（任务ID|任务ID……；不仅要完成前置ID，还需要完成这个并列限制ID的任务才算完成所有前置）,任务名称,任务简单描述,任务类型（1，主线任务；2，支线任务；3，职业任务；4，日常任务；5，周环任务；6，引导任务；7，奇遇任务；8，公会任务；9，伊甸园任务；10，爱神任务；11，伊甸园加急）,所属章节（注意：此字段在热更时会调用，必须配置，每章最好控制在20个任务以内，减少消耗）,章节名（可不填）,服务器等级,接取base等级限制（最低等级=最高等级）,接取job等级限制（最低等级=最高等级）,推送等级：推送base等级下限=推送base隐藏等级上限,职业限制（根据职业划分，填取职业ID，可填多个中间用分号隔开；0表示全职业）,性别限制（0，男；1，女；2，无限制）,接取需求道具限制（道具ID=数量|道具ID=数量;接取的时候扣除，可为空）,接取社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,交付社交身份限制（0：无限制；1，队长；2，异性组队队长接取……持续添加）,完成时间限制（单位：秒；不填表示无限制）,接取NPC（NPCid=所在场景）,交付NPC（NPCid=所在场景）,接任务获得的任务道具（道具ID=数量|道具ID=数量，可为空）,交任务需要扣除的任务道具（道具ID=数量|道具ID=数量，可为空）,接取后是否自动寻路（0.接取后不自动寻路1.接取后自动寻路）,接取形式（1：正常对话接取；2，自动接取；3，飞鸽传书）,交付形式（1：正常对话交付；2，自动交付）,快捷追踪方式（1，不可接取的时候就显示追踪；2，可接取的时候就显示追踪；3，接取之后才显示追踪）,寻路模式（1，自动寻路；2，引导提示；3，不能寻路，全靠自己找）,放弃类型（0不可放弃，1放弃任务重新开始，不保留目标进度，随机目标可再次随机目标2放弃任务后，重新接取任务，任务目标不变，任务目标的完成程度不保留3放弃任务后，重新接取任务，任务目标完成程度保留，从未完成的任务目标开始做）,销毁方式（本字段仅针对配置了接取等级上限的任务有效。1，普通销毁：已接取的过了等级段还保留；2，全部销毁：表示过了这个等级段不管接取与否，完成与否，强制删除）,任务限制销毁,周期内可以完成多少次（表示在一个刷新周期内这个任务可以重复完成多少次，目前仅对日常任务、周常任务有效）,任务群组（用于配置子任务list，如果此处有数据，则后面的123个目标配置无效）,任务群组中子任务选取方式（1，系统随机选取1个任务给你；2，依次接取任务；3，玩家自由选取1个任务；4，伊甸园专用）,相位场景任务（默认不填；若填写，格式为相位场景ID=TriggerID|正常退出点（场景ID=X=Y=Z=朝向）|异常退出点（场景ID=X=Y=Z=朝向））,任务目标1：目标类型|目标参数=参数数量|寻路场景id=X=Y=Z\r\n（1，对话；2，打怪；3：采集；4，收集；5，寻路；6：使用道具；7：完成副本；8：完成操作；9：拍照；10：活动任务；11：成就任务；12：公会任务；13：社交任务；14：脚本；15：打怪收集；16父子任务，17进入副本，18单人烹饪；19，完成双人烹饪副本；20搭乘公共载具；21，与场景进行交互；22，搭乘单人载具）,任务特殊信息,目标1描述,任务目标2,目标2特殊参数,目标2描述,任务目标3,目标3特殊参数,目标3描述,任务目标4,目标4特殊参数,目标4描述,任务目标5,目标5特殊参数,目标5描述,目标执行方式（1，并列执行；2，依次执行）,场景触发器：时机=时机参数=事件类型=事件参数=其他参数1=其他参数2=其他参数3|……（具体配置方式请查看“Comments_task配置字段说明”sheet）\r\n,完成反馈是否在完成任务的时候飘,完成任务时飘字（不想飘不填即可）,NPC好感度（NPCID=好感度数值|NPCID=好感度数值，标识完成任务后给该NPC增加好感度）,奖励ID,任务可接取时的描述,任务已完成时的描述,任务用脚本名字（Assets\Resources\CommandScript\Task路径下面配置任务对白文本名）,接任务剧本tag,交任务剧本tag
1000010,,,初心者登记,一路跋涉，立志成为冒险家的你终于来到了初心者学院。快去找初心者引导员进行登记吧。,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6060=31,6060=31,,,0,1,2,1,1,0,,,,,,,8|1100=1,6060=31,在登记板上填上你的基本信息,,,,,,,,,,,,,2,1=0=19=1100|2=0=14=2=6060=10158,,,,1100010,终于来到了初心者学院，快去找引导员登记吧,,1000,Main_1000010_accept,Main_1000010_finish
1000011,1000010,,领取初心者背包,登记完成，按照引导员的指示进行下一步操作吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,6060=31,10391=31,,,0,1,2,1,1,1,,,,,,,1|10390=31,Main_1000011_exe,跟随引导员前去找管理员，向她申请领取初心者背包,3|200005=1|31=72.85=8.24=60.35,,背包就在管理员旁边，请自己领取吧，她会帮你做好登记的,,,,,,,,,,2,1=0=5=6060|1=0=22=1030|1=0=3=10391=31=62.43=8.13=60.46=215|1=0=11=200005=1=31=73.77=8.24=59.87|2=0=12=200005=1,,,,1100020,已经完成了入学登记，把登记板交给引导员吧,找管理员领取初心者背包吧,1000,Main_1000011_accept,Main_1000011_finish
1000020,1000011,,进入学院,想要正式成为初心者学员，必须得到教授的认可才行。请跟随引导员进入学院去找教授吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10391=31,10392=32,,,1,1,1,1,1,1,,,,,,,5|0=1|31=141.77=8.24=90.40,,请跟随引导员进入学院<color=$$Blue$$>（请跟紧引导员，前往学院外面的小花园中心处）</color>,,,,,,,,,,,,,2,1=0=4=10391|1=0=3=10411=31=73.02=8.24=63.89=196.22|1=0=14=2=10391=10067|2=0=14=2=10391=10068|2=0=3=10392=32=50.46=30.17=45.6=180|2=0=4=10411,,,,1100030,你已经领取了背包，问问引导员是否可以进入学院报道了,进入学院大厅报到吧，当然，你也可以先参观一下小花园,1000,Main_1000020_accept,Main_1000020_finish
1000030,1000020,,了解冒险生活,教授正在隔壁会客，先让引导员带你了解一下冒险生活吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10392=32,10393=32,,,1,1,1,1,1,1,,,,,,,5|0=1|32=36.40=30.28=41.59,,跟随引导员去参观学院的照片墙，了解精彩的冒险生活,,,,,,,,,,,,,2,1=0=4=10392|1=0=3=10393=32=50.46=30.17=45.6=180,,,,1100040,听引导员给你介绍一下初心者学院和今后的冒险生活,已经参观完照片墙了，有什么感受吗？引导员想和你聊聊,1000,Main_1000030_accept,Main_1000030_finish
1000040,1000030,,拜访教授,想必你已经对初心者学院有了初步的了解，也对未来的冒险生活充满了憧憬，但教授还没有回来。请让引导员带你去直接去找他吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10393=32,10400=32,,,0,1,1,1,1,1,,,,,,,5|0=1|32=83.5=30.28=40,,跟随引导员去旁边的房间找到教授，获得他的认可,1|10400=32,Main_1000040_exec_01,教授还在和他的朋友聊天，看来不得不冒昧地打断他们了,1|6076=32,Main_1000040_exec_02,教授与他的朋友聊得正酣，想起曾经的岁月，情怀泛滥，他让你帮他去点一曲BGM,,,,,,,2,1=0=4=10393|4=1=3=10394=32=99.30=30.168=39.54=251.66|1=0=14=2=10393=10069|4=1=14=2=10394=10070,,,,1100050,已经对冒险有了初步认识，让引导员开始下一步安排吧,BGM已经点好了，回去找教授吧，看看他有什么教诲,1000,Main_1000040_accept,Main_1000040_finish
1000050,1000040,,相机的使用,教授居然给你赠送了一个相机，让引导员教你如何使用它吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10394=32,10394=32,,,1,1,1,1,1,1,,,,,,,9|0=1|32=96.02=30.30=43.64,"SelfPhoto|275.15,40.25",按照引导员教你的方法，自己试拍一次，学习如何使用相机,,,,,,,,,,,,,2,3=0=3=10395=32=58.80=30.168=45.23=137.45|3=0=5=10437|3=0=5=10438,,,,1100060,恭喜你获得了教授的认可，他赠送了一部相机，让引导员教你如何使用吧,把拍好的照片给引导员看看，告诉她你已经学会使用相机了,1000,Main_1000050_accept,Main_1000050_finish
1000060,1000050,,前往训练场,你已经获得了教授的认可，可以前往训练场接受训练了。当然，你也可以在学院再了解一下,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10394=32,10396=33,,,1,1,1,1,1,1,,,,,,,5|0=1|32=61.22=30.30=41.57,,和引导员一起离开BGM房,1|10395=32,Main_1000060_exec,引导员似乎有话对你说,5|0=1|33=93.10=12.64=52.45,,终于可以去训练场进行实战训练了，当然，你也可以先在学院大厅了解一下其他冒险知识,,,,,,,2,1=0=4=10394|4=2=22=1033|4=2=4=10395|4=2=3=10396=33=93.90=12.64=44.42=185.98|4=2=15=1000070|2=0=14=2=10396=10114|3=0=4=10396,,,,1100070,让引导员带你去训练场吧,让引导员给你介绍教官给你认识，以便进行下一步的训练,1000,Main_1000060_accept,Main_1000060_finish
1000070,1000060,,基础冒险知识I,让教官教你基本攻击技能的使用方法,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10401=33,10401=33,,,1,1,1,1,1,1,,,,,,,2|5702=1|33=91.57=12.49=34.99,,尝试使用<color=$$Blue$$>普通攻击</color>或<color=$$Blue$$>强攻</color>技能打倒木桩,,,,,,,,,,,,,2,1=0=7=5702=1=33=92.39=12.49=33.59=0|4=1=8=5702=1,,,,1100080,听教官讲解基础的冒险知识,完成了练习，告诉教官你已经掌握了基础的技能使用方法,1000,Main_1000070_accept,Main_1000070_finish
1000080,1000070,,基础冒险知识II,听教官教导你如何使用装死和治愈术吧,1,1000,初心者学院,,0=0,0=0,1=0,0,2,,,,,10401=33,10401=33,,,1,1,1,1,1,1,,,,,,,7|2052=1||33=91.69=12.64=44.66,,向教官学习装死和治愈术的使用技巧,,,,,,,,,,,,,2,1=0=1=2052|2=0=2=2052,,,,1100090,听教官继续教授冒险知识,继续聆听教官的教诲,1000,Main_1000080_accept,Main_1000080_finish
