ID,TaskID,DateTimeLimit,DailyTimeLimit,Regular,Triggercondition,Triggerchance,Circulate,Release,LocalizationArea,
ID,任务ID（关联触发条件的任务ID）,任务可接起止日期时间限制,每日可接时间限制,固定条件（【TaskConditionTableID】=【次数】达成后，因特殊情况，计数不会更改的条件）,参照条件（【TaskConditionTableID】=【次数】达成后，因特殊原因，计数会清零的条件。勋章、成就千万不要配到这里）,触发概率（奇遇任务触发概率，配有概率的，一定要配参照条件）,触发循环周期（【CountTable中的刷新类型】=【次数】，若是循环触发，一定要配参照条件）,是否受每日数量限制（填1则受每日数量限制，受每日数量限制的奇遇任务，一定要配参照条件）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12),备注描述
1,12001410,,,,13=1,100,,,,到达斐杨指定区域
3,14000010,,,19=13,,100,,,,烹饪达到14级
4,14000020,,,23=13,,100,,,,制药达到14级
5,12001810,,,,24=1,50,,,,到达吉芬指定区域
101,19003310,,,,101=1,100,,,,船长的委托触发
201,19005200,,,,301=1,100,,,,与ID为13641的NPC闲聊触发
2001,19002100,,,,3001=1,100,,,,梦罗克触发真理旅人
2002,19006600,,,,3002=1,100,,,,斐扬触发野猪风波
2003,19005300,,,,3003=1,100,,,,跟指定npc闲聊触发
2004,19007000,,,,3004=1,100,,,9,普隆德拉触发被困的超魔导
2005,19006000,,,,3005=1,100,,,,普隆德拉触发童年噩梦
2006,19010110,,,,3006=1,100,,,9,斐扬触发写给思念的诗
2007,19010210,,,,3007=1,100,,,9,斐扬触发远方的灯塔
2008,1008010,2020-12-02T05:00:00=2020-12-16T05:00:00,,,,100,,,,开门任务：尘封的古城
2009,1008210,2021-02-24T05:00:00=2021-03-03T05:00:00,,,,100,,,9,开门任务：石化之种
6001,19005100,,,,7001=1,100,,,,到达普隆德拉西门指定区域
6002,19009100,,,,7003=1,100,,,9,到达普隆德拉有效区域
5001,19002200,,,,6001=1,100,,,,到达伊斯鲁德指定区域
5002,19001200,,,,6002=1,100,,,,跟指定npc闲聊触发
6003,19008200,,,,7004=1,100,,,,与ID为2567的NPC闲聊接取
5003,19004000,,,,6003=1,100,,,,进入梦罗克西部编号为19004000触发器
5004,19003500,,,,6004=1,100,,,,跟指定npc闲聊触发
5005,22002040,,,6005=1,,100,,,9,双人契约-风之章
5006,22002070,,,6005=2,,100,,,9,双人契约-花之章
5007,22002100,,,6005=3,,100,,,9,双人契约-猪之章
5008,22002120,,,6005=4,,100,,,9,双人契约-酒之章
5009,22002150,,,6005=5,,100,,,9,双人契约-月之章
5010,22002180,,,6005=6,,100,,,9,双人契约-戒之章
5011,22002210,,,6005=7,,100,,,9,双人契约-梦之章
5012,22002010,,,6005=0,,100,,,9,双人契约-花与歌（引导任务）
603,19008100,,,,705=1,100,,,,跟指定npc闲聊触发
501,19001000,,,,601=1,100,,,,在斐扬指定地点拍照触发
502,19011810,2021-02-03T05:00:00=2021-02-06T05:00:00,,,602=1,100,,,9,到达斐扬城内的指定区域-春节奇遇
503,19011910,2021-02-03T05:00:00=2021-02-06T05:00:00,,,603=1,100,,,9,到达斐扬城内的指定区域-春节奇遇
504,19011710,2021-02-03T05:00:00=2021-02-06T05:00:00,,,,100,,,9,春节奇遇-夜光出没
301,12002410,,,,401=1,60,,,,到达普隆德拉西门指定区域
302,19010410,,,,402=1,100,,,9,到达斐扬城内的指定区域
303,19010510,,,,403=1,100,,,9,到达斐扬城内的指定区域
304,19011010,2020-10-21T05:00:00=2020-10-28T05:00:00,,,404=1,100,,,9,到达普隆德拉城内的指定区域
305,19011110,2020-10-21T05:00:00=2020-10-28T05:00:00,,,,100,,,9,占卜者的忧虑
401,3005010,,,501=1,,100,,,,商人二转的时候，选择铁匠标识
402,3012030,,,502=1,,100,,,,商人二转的时候，选择炼金术士标识
403,3032010,,,503=70,,100,,,,米雅进阶任务
404,3031010,,,504=70,,100,,,,巴尼米乐斯进阶任务
405,3030010,,,505=70,,100,,,,丽芙进阶任务
406,3034010,,,506=70,,100,,,,艾咪斯可鲁进阶任务
407,3033010,,,507=70,,100,,,,飞里乐进阶任务
27,1000010,,,27=1,,100,,,,非预注册玩家任务
28,1000000,,,28=1,,100,,,,预注册玩家任务
606,19009200,,,,706=1,100,,,9,跟指定npc闲聊触发
3101,3002010,,,3101=1,,100,,,,转职牧师任务
3202,3007010,,,3201=1,,100,,,,转职武僧任务
801,19010910,2020-10-21T05:00:00=2020-10-28T05:00:00,,,801=1,100,,,9,万圣节奇遇：诡异烛光
802,19010810,2020-10-21T05:00:00=2020-10-28T05:00:00,,,802=1,100,,,9,万圣节奇遇：紧急订单
803,19010710,2020-10-21T05:00:00=2020-10-28T05:00:00,,,803=1,100,,,9,万圣节奇遇：万圣节漫游指南
804,19011210,,,,804=1,100,,,9,古城奇遇：最后的王者
805,19011310,2020-12-17T05:00:00=2020-12-24T05:00:00,,,805=1,100,,,9,圣诞节奇遇：圣诞礼物
806,19011410,2020-12-17T05:00:00=2020-12-24T05:00:00,,,806=1,100,,,9,圣诞节奇遇：雪花节问答
807,19011511,2020-12-17T05:00:00=2020-12-24T05:00:00,,,,100,,,9,圣诞节奇遇：遗落的松果
808,19011510,2020-12-17T05:00:00=2020-12-24T05:00:00,,,,100,,,9,圣诞节奇遇：遗落的松果
809,19012310,2021-02-03T05:00:00=2021-02-06T05:00:00,,,809=1,100,,,9,春节奇遇：新春阴云
601,19012010,2020-10-21T05:00:00=2020-10-28T05:00:00,,,701=1,100,,,9,万圣节任务：怪谈异闻录，到达普隆德拉指定地点
602,19013010,2020-10-21T05:00:00=2020-10-28T05:00:00,,,,100,,,9,万圣节任务：贪玩的孩子
604,19011611,2020-12-17T05:00:00=2020-12-24T05:00:00,,,,100,,,9,圣诞奇遇：被遗忘的孩子
607,6003810,2021-03-10T05:00:00=2021-03-28T05:00:00,,,,100,,,9,引导：时空模拟战
2101,3000000,,,2101=1,,100,,,,骑士二转的时候，选择十字军标识
2201,3008010,,,2201=1,,100,,,,十字军二转的时候，选择骑士标识
901,3010030,,,1001=1,,100,,,,弓箭手二转的时候，选择诗人标识
902,3009010,,,1002=1,,100,,,,弓箭手二转的时候，选择舞娘标识
903,3003010,,,1003=1,,100,,,,弓箭手二转的时候，选择猎人标识
910,1008810,2021-05-14T05:00:00=2021-05-21T05:00:00,,,,100,,,9,开门任务：失落的爱
1001,6004310,2021-06-29T05:00:00=2021-07-29T05:00:00,11:00:00=12:59:59|16:00:00=17:59:59|22:00:00=23:59:59,,,100,,,9,奶油狂欢节引导
