ID,Name,Parameter1,Parameter2,Coordinates1,Coordinates2,SpecialMes,SpecialMesDes,PasteSpecialMes
目标ID,目标名,参数显示,参数数量提示,是否有场景坐标配置,退出重进点,是否有特殊配置,特殊配置文字描述,特殊字段是否可以粘贴坐标点
1,对话,npcID,场景ID,,,1,需要配置目标对话的tag名,
2,打怪,怪物ID,数量,1,,,,
3,采集,采集物ID,数量,1,,1,特殊配置若配为1，可将刷出位置和采集位置为同一位置,
4,收集,道具ID,数量,1,,1,特殊配置若为1，则在点击任务追踪时，会弹出道具获取途径,
5,寻路,默认填0,默认填1,1,,,,
6,使用道具,道具ID,使用次数,1,,,,
7,完成副本,副本ID,默认填1,1,1,1,如果通过npc进入副本，可以配置“npcid=场景id”,
8,完成操作,功能ID,次数,1,,1,npcid=场景id,
9,拍照,默认填0,默认填1,1,,1,"1、 自由模式填：VR360Photo|焦点坐标X=焦点坐标Y=焦点坐标Z   2、自拍模式填：SelfPhoto|焦点Y轴坐标,焦点Z轴坐标",
10,活动任务,活动ID,活动次数,1,,,,
11,成就任务,成就ID,默认填1,1,,1, 1、配置为【1=0】，表示执行当前主线任务的寻路； 2、配置为【2=功能ID=para】，表示跳转到功能ID对应的界面，para参数暂时无效，留作扩展； 3、配置为【3=任务ID】，表示执行任务ID对应的寻路逻辑；,
12,已停用,,,,,,,
13,已停用,,,,,,,
14,已停用,,,,,,,
15,打怪收集,物品ID,物品数量,1,,,,
16,父任务,默认填0,默认填1,,,,,
17,进入副本,副本ID,默认填1,1,,,,
18,单人烹饪,食谱ID,默认填1,1,,1,填502，表示去乐园团那里烹饪,
19,完成双人烹饪副本,双人烹饪副本ID,默认填1,1,,,,
20,搭乘公共载具,载具ID,默认填1,1,,,,
21,与场景进行交互,交互ID,默认填1,1,,,,
22,搭乘单人载具,载具ID,默认填1,1,,,,
23,公会交互,互动动作ID,次数,,,1,性别=职业：2=0,
24,使用技能,技能ID,默认填1,1,,1,如果配置1表示必须在寻路目标点释放技能才算完成,
25,播放过场动画,动画ID,默认填1,1,,,,
26,技能达到n级,技能,技能等级,,,,,
27,假使用,道具ID,使用次数,1,,,,
28,播放黑幕,黑幕ID,默认填1,1,,1,可配置朝向,
29,动态回收,默认填0,默认填0,,,,,
30,动态打怪,图中的怪物类型枚举,数量,1,,,,
31,动态拍照,默认填1,在checkinviewporttable表中随机的拍照目标数量,,,,,
32,完成QTE小游戏目标,小游戏id,默认填1,,,,,
33,护送,护送,默认填1,1,,1,护送目的点坐标场景id=x=y=z=wave_id=有效半径,
34,搬运,搬运物id,默认填1,1,,1,场景id=x=y=z,1
35,加任务目标,,,,,,,
36,采集某一类型采集物,采集物类型,采集数量,,,,,
37,等待N秒完成目标,等待时间（单位：秒）,默认填1,,,,,
38,与指定npc做出指定的交互动作,动作id,交互次数,1,,1,npcid=npc所在场景id=调用的剧本id=剧本tag名,
39,完成指定动作,动作id（showactiontable中的单人动作）,次数,1,,,,
40,环任务目标,keyid（tasktargetlibrary表中的字段数量代表从对应的keyid下随机出来的任务数量）,目标数量,,,,,
41,收集道具后对话的复合目标,npcid,场景id,,,1,道具id=数量=剧本id=剧本tag,
42,委托泡点跳舞,默认为0,默认为1,1,,,,
44,完成活动,默认为1,默认为1,1,,,,
