ID,MainSonId,Type,Day,Award,ChargeAward,
id,活动id（TimeLimitActivityTable的id）,签到类型（1.日签 2.累签3.累签+付费累签）,参数（Type=1时，配置签到对应的活动第n天）,奖励（Awardid）,特权奖励（Awardid）,（策划用不需要翻译）备注
101,1401,1,1,8200300,,2020秋夕第1天
102,1401,1,2,8200310,,2020秋夕第2天
103,1401,1,3,8200320,,2020秋夕第3天
104,1401,1,4,8200330,,2020秋夕第4天
105,1401,1,5,8200340,,2020秋夕第5天
106,1401,1,6,8200350,,2020秋夕第6天
107,1401,1,7,8200360,,2020秋夕第7天
20101,1901,2,1,8300710,,新服累计1天
20102,1901,2,2,8300720,,新服累计2天
20103,1901,2,3,8300730,,新服累计3天
20104,1901,2,4,8300740,,新服累计4天
20105,1901,2,5,8300750,,新服累计5天
20106,1901,2,6,8300760,,新服累计6天
20107,1901,2,7,8300770,,新服累计7天
20108,1901,2,8,8300780,,新服累计8天
20109,1901,2,9,8300790,,新服累计9天
20110,1901,2,10,8300800,,新服累计10天
20111,1901,2,11,8300810,,新服累计11天
20112,1901,2,12,8300820,,新服累计12天
20113,1901,2,13,8300830,,新服累计13天
20114,1901,2,14,8300840,,新服累计14天
20115,1901,2,15,8300850,,新服累计15天
20201,1902,2,1,8300860,,老服活跃累计1天
20202,1902,2,2,8300870,,老服活跃累计2天
20203,1902,2,3,8300880,,老服活跃累计3天
20204,1902,2,4,8300890,,老服活跃累计4天
20205,1902,2,5,8300900,,老服活跃累计5天
20206,1902,2,6,8300910,,老服活跃累计6天
20207,1902,2,7,8300920,,老服活跃累计7天
20208,1902,2,8,8300930,,老服活跃累计8天
20209,1902,2,9,8300940,,老服活跃累计9天
20210,1902,2,10,8300950,,老服活跃累计10天
20211,1902,2,11,8300960,,老服活跃累计11天
20212,1902,2,12,8300970,,老服活跃累计12天
20213,1902,2,13,8300980,,老服活跃累计13天
20214,1902,2,14,8300990,,老服活跃累计14天
20215,1902,2,15,8301000,,老服活跃累计15天
20301,1903,2,1,8301010,,老服萌新累计1天
20302,1903,2,2,8301020,,老服萌新累计2天
20303,1903,2,3,8301030,,老服萌新累计3天
20304,1903,2,4,8301040,,老服萌新累计4天
20305,1903,2,5,8301050,,老服萌新累计5天
20306,1903,2,6,8301060,,老服萌新累计6天
20307,1903,2,7,8301070,,老服萌新累计7天
20308,1903,2,8,8301080,,老服萌新累计8天
20309,1903,2,9,8301090,,老服萌新累计9天
20310,1903,2,10,8301100,,老服萌新累计10天
20311,1903,2,11,8301110,,老服萌新累计11天
20312,1903,2,12,8301120,,老服萌新累计12天
20313,1903,2,13,8301130,,老服萌新累计13天
20314,1903,2,14,8301140,,老服萌新累计14天
20315,1903,2,15,8301150,,老服萌新累计15天
20401,1904,2,1,8301160,,老服回归累计1天
20402,1904,2,2,8301170,,老服回归累计2天
20403,1904,2,3,8301180,,老服回归累计3天
20404,1904,2,4,8301190,,老服回归累计4天
20405,1904,2,5,8301200,,老服回归累计5天
20406,1904,2,6,8301210,,老服回归累计6天
20407,1904,2,7,8301220,,老服回归累计7天
20408,1904,2,8,8301230,,老服回归累计8天
20409,1904,2,9,8301240,,老服回归累计9天
20410,1904,2,10,8301250,,老服回归累计10天
20411,1904,2,11,8301260,,老服回归累计11天
20412,1904,2,12,8301270,,老服回归累计12天
20413,1904,2,13,8301280,,老服回归累计13天
20414,1904,2,14,8301290,,老服回归累计14天
20415,1904,2,15,8301300,,老服回归累计15天
20501,1905,2,1,8301320,,太珍儿活跃累计1天
20502,1905,2,2,8301330,,太珍儿活跃累计2天
20503,1905,2,3,8301340,,太珍儿活跃累计3天
20504,1905,2,4,8301350,,太珍儿活跃累计4天
20505,1905,2,5,8301360,,太珍儿活跃累计5天
20506,1905,2,6,8301370,,太珍儿活跃累计6天
20507,1905,2,7,8301380,,太珍儿活跃累计7天
20508,1905,2,8,8301390,,太珍儿活跃累计8天
20509,1905,2,9,8301400,,太珍儿活跃累计9天
20510,1905,2,10,8301410,,太珍儿活跃累计10天
20511,1905,2,11,8301420,,太珍儿活跃累计11天
20512,1905,2,12,8301430,,太珍儿活跃累计12天
20513,1905,2,13,8301440,,太珍儿活跃累计13天
20514,1905,2,14,8301450,,太珍儿活跃累计14天
20515,1905,2,15,8301460,,太珍儿活跃累计15天
20601,1906,2,1,8301470,,太珍儿萌新累计1天
20602,1906,2,2,8301480,,太珍儿萌新累计2天
20603,1906,2,3,8301490,,太珍儿萌新累计3天
20604,1906,2,4,8301500,,太珍儿萌新累计4天
20605,1906,2,5,8301510,,太珍儿萌新累计5天
20606,1906,2,6,8301520,,太珍儿萌新累计6天
20607,1906,2,7,8301530,,太珍儿萌新累计7天
20608,1906,2,8,8301540,,太珍儿萌新累计8天
20609,1906,2,9,8301550,,太珍儿萌新累计9天
20610,1906,2,10,8301560,,太珍儿萌新累计10天
20611,1906,2,11,8301570,,太珍儿萌新累计11天
