TimeId,LoopType,ShowTime,StartTime,
时间编号（2000-2999为祈愿抽奖用；3000-3999为日本节日礼包用）700-799意见反馈占用，绝对不要占用,循环类型（1.不循环,"显示时间，时分秒格式为000000，不可配超过235959,0点配为000000","生效时间，时分秒格式为000000，不可配超过235959,0点配为000000",备注策划用
1,1,20200627=000000|20200704=000000,20200627=000000|20200704=000000,对应卡普拉礼包中的金币礼包123
2,1,20200725=050000|20200814=050000,20200725=050000|20200814=050000,
3,1,20200725=050000|20200728=050000,20200725=050000|20200728=050000,
4,1,20200727=000000|20200728=050000,20200727=000000|20200728=050000,
5,1,20200807=050000|20200814=050000,20200807=050000|20200814=050000,
6,1,20200901=000000|20200923=050000,20200901=000000|20200923=050000,韩国礼包时间，国内不开
7,1,20200901=000000|20200923=050000,20200901=000000|20200923=050000,韩国礼包时间，国内不开
8,1,20200916=150000|20200923=050000,20200916=150000|20200923=050000,抗击新冠肺炎福利礼包
1001,1,20200918=050000|20200925=050000,20200919=050000|20200925=050000,松饼第2天开售原料
1002,1,20200918=050000|20200925=050000,20200919=050000|20200925=050000,松饼第2天开售原料
1003,1,20200918=050000|20200925=050000,20200920=050000|20200925=050000,松饼第3天开售原料
1004,1,20200918=050000|20200925=050000,20200920=050000|20200925=050000,松饼第3天开售原料
1005,1,20200918=050000|20200925=050000,20200921=050000|20200925=050000,松饼第4天开售原料
1006,1,20200918=050000|20200925=050000,20200921=050000|20200925=050000,松饼第4天开售原料
1000,1,20200918=050000|20200925=050000,20200918=050000|20200925=050000,松饼活动期间出售
9,1,20201001=000000|20201023=050000,20201001=000000|20201023=050000,十月礼包
10,1,20201101=000000|20201123=050000,20201101=000000|20201123=050000,十一月礼包
11,1,20201008=000000|20201023=050000,20201008=000000|20201023=050000,十月8号开启礼包
12,1,20201025=050000|20201202=050000,20201025=050000|20201202=050000,助战活动嘉年华币
801,1,20201125=150000|20210127=150000,20201125=150000|20210127=150000,第1期累充
802,1,20210127=150000|20210324=050000,20210127=150000|20210324=050000,第2期累充
803,1,20210324=050000|20210525=050000,20210324=050000|20210525=050000,第3期累充
13,1,20201201=000000|20201223=050000,20201201=000000|20201223=050000,十二月礼包
14,1,20210101=000000|20210123=050000,20210101=000000|20210123=050000,2021一月礼包
15,1,20210201=000000|20210227=235900,20210201=000000|20210227=235900,2021二月礼包1-27
16,1,20210210=000000|20210227=235900,20210210=000000|20210227=235900,2021二月礼包10-27
17,1,20210301=000000|20210329=235900,20210301=000000|20210329=235900,2021三月礼包
18,1,20210401=000000|20210428=235900,20210401=000000|20210428=235900,2021四月礼包
19,1,20210501=000000|20210528=235900,20210501=000000|20210528=235900,2021五月礼包
700,1,20210528=000000|20210628=235900,20210528=000000|20210628=235900,意见反馈第1期
20,1,20210408=050000|20210608=050000,20210408=050000|20210608=050000,限时抽奖奖池
21,1,20210408=050000|20210508=050000,20210408=050000|20210508=050000,限时无限抽奖奖池
30,1,20210601=000000|20210628=235900,20210601=000000|20210628=235900,2021六月礼包
2000,1,20210601=050000|20610601=050000,20210601=050000|20610601=050000,日本抽奖积分长期有效
2001,1,20210628=050000|20210712=050000,20210628=050000|20210712=050000,抽奖积分有效时间1
2002,1,20210712=050000|20210726=050000,20210712=050000|20210726=050000,抽奖积分有效时间2
2003,1,20210528=050000|20210628=050000,20210528=050000|20210628=050000,抽奖积分有效时间3
2004,1,20210701=050000|20210710=045900,20210701=050000|20210710=045900,抽奖积分有效时间4
2005,1,20210715=050000|20210725=045900,20210715=050000|20210725=045900,抽奖积分有效时间5
2006,1,20210730=050000|20210810=045900,20210730=050000|20210810=045900,抽奖积分有效时间6
2010,1,20210601=050000|20210810=045900,20210601=050000|20210810=045900,时装奖池抽取时间
2007,1,20210901=050000|20210930=045900,20210901=050000|20210930=045900,抽奖积分时间7测试换积分id
2008,1,20210726=050000|20220726=050000,20210726=050000|20220726=050000,换积分长期有效时间段测试用
3001,1,20210703=000000|20210801=235900,20210703=000000|20210801=235900,日本上线7-8月喵果礼包
3002,1,20210705=050000|20210720=045900,20210705=050000|20210720=045900,日本节日礼包7.5-7.20
3003,1,20210720=050000|20210801=045900,20210720=050000|20210801=045900,日本节日礼包7.20-8.1
3004,1,20200805=000000|20200819=235900,20200805=000000|20200819=235900,日本节日礼包8.5-8.19
31,1,20210702=120000|20210731=235900,20210702=120000|20210731=235900,2021七月礼包
32,1,20210801=000000|20210831=235900,20210801=000000|20210831=235900,韩服2021八月礼包
