Id,Vehicaleid,Name,SpecialAnimLevel,SpecialAnim,SpecialAnimConsume,,,
ID（载具id+2位）VehicleTable中使用,载具id（策划使用，差错是否是这个载具的炫技动作）,载具名字（策划使用）,炫技品质（用来计算典藏值）,炫技动画,解锁炫技的消耗（道具id=道具数量|道具id=道具数量|……,,,
102002301,1020023,木乃伊王座,4,Mount_MuNaiYi_Show_01,1029020=8|1029021=2,,,前3个有资源可以投放，后面的可以把消耗配上，资源到的时候再投
102002201,1020022,白幽灵秋千,3,Mount_YouLing02_Show_01,1029020=4|1029021=2,,,
102003001,1020030,游泳鸭,4,Mount_QianShuiYa_Show_01,1029020=8|1029021=2,,,
102002401,1020024,鲨鱼恶霸,4,Mount_ShaYu_Show_01,1029020=8|1029021=2,,,
102003101,1020031,月亮木马,4,,1029020=8|1029021=2,,,
102000301,1020003,小恶魔双人车,4,Mount_MaChe_Show_01,1029020=8|1029021=2,,,
102000701,1020007,抱抱熊,4,,1029020=8|1029021=2,,,
102002501,1020025,哭泣汉堡,3,,1029020=4|1029021=2,,,
102000901,1020009,波利串串,3,,1029020=4|1029021=2,,,
102002101,1020021,博学幽灵,3,Mount_YouLing01_Show_01,1029020=4|1029021=2,,,
102002601,1020026,泡泡,3,,1029020=4|1029021=2,,,
102002701,1020027,布布,3,,1029020=4|1029021=2,,,
102002801,1020028,吉吉,3,,1029020=4|1029021=2,,,
102002901,1020029,岛岛,3,,1029020=4|1029021=2,,,
102990601,1029906,鲨鱼恶霸,3,,1029020=4|1029021=2,,,
102104201,1021042,炫酷魔物滑板,4,,1029020=8|1029021=2,,,
102104301,1021043,魔法飞行扫把,3,Mount_NvWuDeShaoBa_Show_01,1029020=4|1029021=2,,,
102104401,1021044,拉风南瓜车,3,Mount_NanGuaChe_Idle_Show_01,1029020=4|1029021=2,,,
