Id,Level,Quality,Experience,Attribute
Id,齿轮等级,品质,升级所需经验,属性
1,1,1,100,0=27=0=2|0=36=0=2
2,2,1,200,0=27=0=4|0=36=0=4
3,3,1,300,0=27=0=8|0=36=0=8
4,4,1,400,0=27=0=12|0=36=0=12
5,5,1,500,0=27=0=16|0=36=0=16
6,6,1,600,0=27=0=20|0=36=0=20
7,7,1,700,0=27=0=24|0=36=0=24
8,8,1,800,0=27=0=28|0=36=0=28
9,9,1,900,0=27=0=32|0=36=0=32
10,10,1,1000,0=27=0=36|0=36=0=36
11,11,1,1100,0=27=0=40|0=36=0=40
12,12,1,1200,0=27=0=44|0=36=0=44
13,13,1,1300,0=27=0=48|0=36=0=48
14,14,1,1400,0=27=0=52|0=36=0=52
15,15,1,1500,0=27=0=56|0=36=0=56
16,16,1,1600,0=27=0=60|0=36=0=60
17,17,1,1700,0=27=0=64|0=36=0=64
18,18,1,1800,0=27=0=68|0=36=0=68
19,19,1,1900,0=27=0=72|0=36=0=72
20,20,1,2000,0=27=0=76|0=36=0=76
21,21,1,2100,0=27=0=80|0=36=0=80
22,22,1,2200,0=27=0=86|0=36=0=86
23,23,1,2300,0=27=0=92|0=36=0=92
24,24,1,2400,0=27=0=98|0=36=0=98
