Id,ProfessionId,SkillName,SkillQuality,BuffId,Attrdec,SkillLimit,BornWeight,ComposeWeight,TimesLimit
Id,职业Id,技能名称,齿轮品质,属性Id,属性描述(策划自用),词条上限,打造权重,合成权重,打造获得门槛次数
1,2000,力量Lv.1,1,7100101,力量+1,1,0,0,0
2,3000,力量Lv.1,1,7100101,力量+1,1,0,0,0
3,4000,力量Lv.1,1,7100101,力量+1,1,0,0,0
4,5000,力量Lv.1,1,7100101,力量+1,1,0,0,0
5,6000,力量Lv.1,1,7100101,力量+1,1,0,0,0
6,7000,力量Lv.1,1,7100101,力量+1,1,0,0,0
7,2000,力量Lv.2,1,7100102,力量+2,2,0,0,0
8,3000,力量Lv.2,1,7100102,力量+2,2,0,0,0
9,4000,力量Lv.2,1,7100102,力量+2,2,0,0,0
10,5000,力量Lv.2,1,7100102,力量+2,2,0,0,0
11,6000,力量Lv.2,1,7100102,力量+2,2,0,0,0
12,7000,力量Lv.2,1,7100102,力量+2,2,0,0,0
13,2000,力量Lv.2,1,7100102,力量+2,2,0,0,0
14,3000,力量Lv.2,1,7100102,力量+2,2,0,0,0
15,4000,力量Lv.2,1,7100102,力量+2,2,0,0,0
16,5000,力量Lv.2,1,7100102,力量+2,2,0,0,0
17,6000,力量Lv.2,1,7100102,力量+2,2,0,0,0
18,7000,力量Lv.2,1,7100102,力量+2,2,0,0,0
19,2000,力量Lv.3,2,7100103,力量+3,3,0,0,0
20,3000,力量Lv.3,2,7100103,力量+3,3,0,0,0
21,4000,力量Lv.3,2,7100103,力量+3,3,0,0,0
22,5000,力量Lv.3,2,7100103,力量+3,3,0,0,0
23,6000,力量Lv.3,2,7100103,力量+3,3,0,0,0
24,7000,力量Lv.3,2,7100103,力量+3,3,0,0,0
25,2000,力量Lv.4,2,7100104,力量+4,4,0,0,0
26,3000,力量Lv.4,2,7100104,力量+4,4,0,0,0
27,4000,力量Lv.4,2,7100104,力量+4,4,0,0,0
28,5000,力量Lv.4,2,7100104,力量+4,4,0,0,0
29,6000,力量Lv.4,2,7100104,力量+4,4,0,0,0
30,7000,力量Lv.4,2,7100104,力量+4,4,0,0,0
31,2000,体质Lv.1,1,7100201,体质+1,1,0,0,0
32,3000,体质Lv.1,1,7100201,体质+1,1,0,0,0
33,4000,体质Lv.1,1,7100201,体质+1,1,0,0,0
34,5000,体质Lv.1,1,7100201,体质+1,1,0,0,0
35,6000,体质Lv.1,1,7100201,体质+1,1,0,0,0
36,7000,体质Lv.1,1,7100201,体质+1,1,0,0,0
37,2000,体质Lv.2,1,7100202,体质+2,2,0,0,0
38,3000,体质Lv.2,1,7100202,体质+2,2,0,0,0
39,4000,体质Lv.2,1,7100202,体质+2,2,0,0,0
40,5000,体质Lv.2,1,7100202,体质+2,2,0,0,0
41,6000,体质Lv.2,1,7100202,体质+2,2,0,0,0
42,7000,体质Lv.2,1,7100202,体质+2,2,0,0,0
43,2000,体质Lv.2,1,7100202,体质+2,2,0,0,0
44,3000,体质Lv.2,1,7100202,体质+2,2,0,0,0
45,4000,体质Lv.2,1,7100202,体质+2,2,0,0,0
46,5000,体质Lv.2,1,7100202,体质+2,2,0,0,0
47,6000,体质Lv.2,1,7100202,体质+2,2,0,0,0
48,7000,体质Lv.2,1,7100202,体质+2,2,0,0,0
49,2000,体质Lv.3,2,7100203,体质+3,3,0,0,0
50,3000,体质Lv.3,2,7100203,体质+3,3,0,0,0
51,4000,体质Lv.3,2,7100203,体质+3,3,0,0,0
52,5000,体质Lv.3,2,7100203,体质+3,3,0,0,0
53,6000,体质Lv.3,2,7100203,体质+3,3,0,0,0
54,7000,体质Lv.3,2,7100203,体质+3,3,0,0,0
55,2000,体质Lv.4,2,7100204,体质+4,4,0,0,0
56,3000,体质Lv.4,2,7100204,体质+4,4,0,0,0
57,4000,体质Lv.4,2,7100204,体质+4,4,0,0,0
58,5000,体质Lv.4,2,7100204,体质+4,4,0,0,0
59,6000,体质Lv.4,2,7100204,体质+4,4,0,0,0
60,7000,体质Lv.4,2,7100204,体质+4,4,0,0,0
61,2000,灵巧Lv.1,1,7100301,灵巧+1,1,0,0,0
62,3000,灵巧Lv.1,1,7100301,灵巧+1,1,0,0,0
63,4000,灵巧Lv.1,1,7100301,灵巧+1,1,0,0,0
64,5000,灵巧Lv.1,1,7100301,灵巧+1,1,0,0,0
65,6000,灵巧Lv.1,1,7100301,灵巧+1,1,0,0,0
